j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
15,5.05067953,1.08862434625964,1.4262441388836773,0.008974923497223971,-0.997175138663222, -0.2992810055083735,0.48826075548819486,0.4445810894825807,0.0006382625826085627, 0.028527383334300212,0.010904885036718104,1.9971333826380124, 1.2969622589338778,0.4901886875672705,0.8830527240023625,0.005604087729455005, 0.016784198439795065,0.007064989360175809,0.0,0.0
16,4.81017098,1.08862434625964,1.4170956152461494,0.006263081921393551,-0.997984343370099, -0.29391774457370584,0.49610885918167413,0.4404696534694088,0.00039029622134681945, 0.024592229486921864,0.010858990623176025,1.991920618586399, 1.2495974490797392,0.5117292787933376,0.18892042698383277,0.0034531145746319425, 0.026767128232381084,0.010832499924401865,0.0,0.0
17,4.58111522,1.08862434625964,1.381389819815584,0.005863735528269948,-0.996597246128708, -0.25824294299748213,0.5173599658877963,0.05253271260519621,0.0005271757314316586, 0.021784330713585338,0.008564266148308748,1.9842527062473323, 1.2843162348865336,0.5097553996325429,0.6449309625718345,0.002602245288504924, 0.018988898235763076,0.008016621386020153,0.0,0.0
18,4.36296688,1.08862434625964,1.3740039708210516,0.008258026958474001,-0.9961326080291583, -0.2894427732434623,0.5016296293888842,0.03351553859421272,0.0005745226591399088, 0.02829196434205877,0.010994648258819774,1.9918276419746064, 1.3281898605854143,0.4828687057688871,0.2485437365307907,0.0032333921750418095, 0.02672103241582004,0.01133452176773947,0.0,0.0
19,4.15520655,1.08862434625964,1.379511301798615,0.005751433948875047,-0.9989920497071875, -0.26827061209163444,0.5064078056428939,0.3747703894258077,0.0004946950182612852, 0.026751691290027677,0.010240093675624526,1.9960986786143404, 1.3213801298581576,0.48479551720334185,0.6677564710677764,0.003385915457239269, 0.02131508894053085,0.008965938823047094,0.0,0.0
20,3.95733957,1.08862434625964,1.350391363243577,0.0065536677012629175,-0.9966266217420461, -0.30573376824876164,0.48706547963872016,0.7388981297343185,0.000809222386811893, 0.029064375019434652,0.01167356509070787,1.9914327416820192, 1.264962875734006,0.5065506981236265,0.4353142769794645,0.00320349816454512, 0.016319051663056666,0.005686986210895532,0.0,0.0
21,3.76889483,1.08862434625964,1.3362618247914706,0.005248884544199664,-0.9969037618884714, -0.2841237198790004,0.5007242060141427,0.8646657243091117,0.00044833833596374755, 0.01981335857151893,0.008465341431282223,1.9896598584717757, 1.2531500766313868,0.5124832963337098,0.26271044131571464,0.0032072856617236536, 0.023862129224081517,0.009044930254617977,0.0,0.0
22,3.58942365,1.08862434625964,1.3442421318207038,0.007310899649256056,-0.9989332566673589, -0.2798867089440975,0.5053728025710787,0.2953474094353117,0.0006299715432888123, 0.025268203059749153,0.01058298343023384,1.9891635674114252, 1.3225359892153532,0.4890759788877948,0.5733136225633817,0.0028835306062868203, 0.025578120346005512,0.010131450946592766,0.0,0.0
23,3.41849871,1.08862434625964,1.3270093703435513,0.0105455532462162,-0.996828191206899, -0.2941400217129956,0.5037680141425074,0.2982221354271583,0.000519735364879135, 0.025460700592058055,0.010480813638938439,1.9840102612480384, 1.2858717996246323,0.5086935810257588,0.5455153155938742,0.002630313285961344, 0.024445344846077764,0.0104645434354658,0.0,0.0
24,3.25571306,1.08862434625964,1.3177529692656758,0.006220851513229554,-0.9972804923441474, -0.25262742522620385,0.5181644876021212,0.29272473035131424,0.0007686000437203928, 0.03378387784358025,0.014884024809757394,1.9839483031832787, 1.2649392696650748,0.5126624861072056,0.36093998973053376,0.002964083589328031, 0.024225275158865196,0.010045207392127121,0.0,0.0
25,3.1006791,1.08862434625964,1.2860636771783345,0.004225948572458343,-0.996440838619829, -0.27786757216220825,0.5093192057869198,0.01941252240812774,0.0005345120474657027, 0.032502618512720426,0.013174410914275323,1.9892639331815372, 1.2498922617271415,0.5156364605843753,0.7665453167940541,0.0019793940201834237, 0.027636927866259365,0.011045915263346641,0.0,0.0
26,2.95302772,1.08862434625964,1.2800601186741443,0.0029710848084811598,-0.9967597831699868, -0.24225153646469186,0.5240144516930887,0.6911169253475703,0.00047569740958652797, 0.031222328359257853,0.012167447475358348,1.9889059151353958, 1.3149088544894814,0.4912195371363892,0.6696748197507052,0.003394933833639157, 0.02819313864125289,0.01168105977175202,0.0,0.0
27,2.81240735,1.08862434625964,1.2790418816916467,0.003954165232167391,-0.9949169098397557, -0.1993441222296678,0.5256930857686688,0.12115331834138637,0.0005015292507794178, 0.042021103742586614,0.017301037250601156,1.9962772417388819, 1.3112864880949215,0.48243161413463403,0.6287568649164417,0.0032164687210147536, 0.027379574987687737,0.01081372466343541,0.0,0.0
28,2.67848319,1.08862434625964,1.2637841888264878,0.003300914220152279,-0.995269349328271, -0.27710452115090906,0.5004066465826151,0.988547894562261,0.0006612792874753026, 0.030289972791307733,0.01169461937973749,1.9944786663454876, 1.2934724100398967,0.4905289043224991,0.2586658167793882,0.002976365898450335, 0.020373070594103586,0.007502316264419884,0.0,0.0
29,2.55093637,1.08862434625964,1.2639135375272132,0.005127372101751933,-0.9963894460802409, -0.2889556520305602,0.49878454004206263,0.7655846374099223,0.0005833497492955965, 0.03426850333821191,0.014057796983040001,1.991449294929217, 1.263644370539179,0.5079819571597232,0.9160118331044087,0.003023490349927441, 0.02879429078870928,0.011963972974532198,0.0,0.0
