j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
51,0.08518551,1.2481357569474676,1.2653427404213395,0.0006328322562880279,-1.029097999121776, -0.6483452167383247,0.75,0.5,0.00019028121943543818, 0.0002300556322568103,0.0,1.5617574285943823, -0.1776283210965531,0.75,0.5,0.0009897134963811928, 0.00013954111328582926,0.0
52,0.07744138,1.2402517244659363,1.251585672595903,0.0005667395921915083,-1.0269119576702956, -0.64563431798068,0.75,0.5,0.0004089461509628994, 0.00013303211566903319,0.0,1.5574169224393626, -0.1800276369333929,0.75,0.5,0.0011014102892395962, 0.00023271395000718623,0.0
53,0.07040125,1.2342009954322664,1.2457386079096786,0.0006556007213534413,-1.0224099576500927, -0.6460776362323585,0.75,0.5,0.00020173186666120588, 0.00019259326132361186,0.0,1.553713238031384, -0.18299928786097544,0.75,0.5,0.0006210032418938705, 0.00019196300997089858,0.0
54,0.06400114,1.2212009112615698,1.2318576916578787,0.00048763541132477447,-1.0222340734529083, -0.6422628948607284,0.75,0.5,0.00019575556858358794, 0.00013788246612861114,0.0,1.553126841192157, -0.183544251178836,0.75,0.5,0.0006190529815244496, 0.00010865621549583103,0.0
55,0.05818285,1.220241961099388,1.2305902027433007,0.0005617825316497543,-1.0251513761259026, -0.640291756583988,0.75,0.5,0.00018820735477655492, 0.00011623251647791482,0.0,1.5600449745812242, -0.1838532903651065,0.75,0.5,0.0009784849496322992, 0.00015339857644461165,0.0
56,0.0528935,1.220241961099388,1.2336357893519463,0.0006495880610393171,-1.0225659000378076, -0.6402258701224384,0.75,0.5,0.00017698237922071953, 9.439899462584124e-5,0.0,1.5713976590027907, -0.18117721543236914,0.75,0.5,0.0006363037983396034, 5.187638723107442e-5,0.0
57,0.048085,1.2172544827146212,1.2277458402856247,0.0005740012229012015,-1.0227620828257613, -0.6396731430464239,0.75,0.5,0.00017490317603400832, 0.00018853559497399687,0.0,1.5651971244148073, -0.18148078706953213,0.75,0.5,0.0007124164534912252, 9.03823695391694e-5,0.0
58,0.04371364,1.2172544827146212,1.2274096309074536,0.00036668231526453015,-1.0239726310269768, -0.6407991096029878,0.75,0.5,0.0002021218982675195, 0.00014994433866626498,0.0,1.5628305597668577, -0.18199590484958086,0.75,0.5,0.000516757750841408, 9.602955026113265e-5,0.0
59,0.03973967,1.2094561775991235,1.2179104575405109,0.0006562040389391696,-1.024571082919012, -0.6426046978696609,0.75,0.5,0.0002388820847694351, 0.00013303273383571168,0.0,1.5535338730149018, -0.18311917414755002,0.75,0.5,0.000689236944869472, 9.454829970490605e-5,0.0
60,0.03612697,1.204181034205426,1.2108133634618268,0.0002919868695532294,-1.027908789066705, -0.6434446967329163,0.75,0.5,0.0001204660853595479, 0.00012237381660552962,0.0,1.551126317638404, -0.1845227782263378,0.75,0.5,0.00042431812395334983, 0.0002047576328039271,0.0
