j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
10,6.44608916,0.9258180922251859,1.5219534654895501,0.016847868442364015,-0.9988174294588313, -0.41315378020426224,0.5038047424983957,0.6610439442252503,0.00018121693891000367, 0.01299562247762882,0.006370331705497532,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
11,6.13913254,0.9258180922251859,1.532527740849705,0.01504630231190222,-0.9988633144921026, -0.4275692743664834,0.4980468702975358,0.6389348592188595,0.00037198266530150093, 0.011173623215200242,0.005818638782598805,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
12,5.84679289,0.9258180922251859,1.6825223935379765,0.019685821848814934,-0.9942052761987747, -0.4447469055356307,0.4886532053294679,0.32349631346353913,0.00014062527447683649, 0.011989939049872899,0.006370173257294549,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
13,5.56837418,0.9258180922251859,1.5524162382300541,0.015378266026934456,-0.9950025374214058, -0.4381059125011559,0.49220709570366494,0.7050172391639781,0.000187742449865356, 0.01316289871905618,0.006871859638008401,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
14,5.30321351,0.9258180922251859,1.4534697890774244,0.014776543629147914,-0.9969968820180866, -0.4255404171208218,0.4994463492449167,0.681258800807634,0.00022046841427110568, 0.013653821953736406,0.007025479326841659,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
15,5.05067953,0.9258180922251859,1.4798331742714435,0.011671314114043384,-0.9967111000304097, -0.4233280503634327,0.4990042178179281,0.27317415915187576,0.00012481203075340787, 0.01194542068319534,0.006201314459532046,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
16,4.81017098,0.9258180922251859,1.4028177938148436,0.011515645391054725,-0.9985215773877263, -0.433147735272177,0.4950553924845179,0.9343593986347377,0.00020557724842332344, 0.012928845254085504,0.006626419420106813,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
17,4.58111522,0.9087938588107235,1.347485854298362,0.01653600150154142,-1.0001311548724456, -0.43505815267306513,0.4935539463421749,0.6377480098011974,0.00034153907439666995, 0.013282816505473357,0.006978183804860783,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
18,4.36296688,0.9087938588107235,1.4179811715104866,0.012780551006327124,-1.0009632520752938, -0.4167074817373271,0.5056436992065685,0.7728016815888723,0.0001832934541863576, 0.014470414144524093,0.00724751863213534,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
19,4.15520655,0.9087938588107235,1.3726178346593492,0.011367795227470851,-1.001952373995009, -0.41740550198817783,0.5011838735870663,0.05736783346165508,0.0002745783689192292, 0.017076653883562234,0.008639391895527808,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
