j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma,w_cont0,w_contf
22,3.58942365,1.1272365947450107,1.6696978204092452,0.028255481362594537,-1.006485055802409, -0.7053825907095521,0.5118356455097538,0.7196767333452401,0.0004220202124045374, 0.024709222821340505,0.024179684146550633,1.4474498161458507, 0.6191580953790514,0.5234952029562427,0.2942972855943101,0.0014779030143519253, 0.052946431711807435,0.022061965743319006,0.0,0.0
23,3.41849871,1.1272365947450107,1.8407670505737805,0.049462927934925356,-1.003546635111878, -0.7390604819027062,0.48653152932659294,0.33393070222034055,0.0007664092451130645, 0.01969364332069415,0.02170057865616477,1.4518439468299964, 0.728904630372958,0.4671189192053678,0.653829422443143,0.0016418895546432754, 0.061795983495144376,0.026451116034503598,0.0,0.0
24,3.25571306,1.1272365947450107,1.5835473460236817,0.019857111440967603,-1.0077131351635225, -0.7260759772720473,0.4955141227281962,0.2659371583343282,0.0005354194791193705, 0.0224664786140029,0.024117565866145007,1.4519796323117735, 0.7996001147789757,0.4398251192880508,0.7102334384555888,0.0013171542689788302, 0.05965938681161596,0.02632199528926778,0.0,0.0
25,3.1006791,1.1272365947450107,1.5744426820964559,0.026125716165906417,-1.0062413484894825, -0.6928430349564594,0.5120683751833899,0.9472894520275692,0.0006387553761115826, 0.03361785437876991,0.03378164516202124,1.4499298503847429, 0.7769338341212768,0.4472053835107702,0.5422006755257642,0.0013817380853118012, 0.07269240285487988,0.031183277008856723,0.0,0.0
26,2.95302772,1.1272365947450107,1.534204076977253,0.016534008859954742,-1.0093905297668277, -0.6799819506122702,0.5349158519769336,0.7471771622279834,0.0006010862317111548, 0.025122451084792493,0.02484470539420281,1.4543603232991402, 0.5627737004456013,0.5392961521469393,0.2555683279013661,0.0014664440601404205, 0.06246767677493256,0.02571667097751079,0.0,0.0
27,2.81240735,1.123991730833811,1.4081109240903449,0.015002274911811794,-1.012345213491114, -0.6827217353210638,0.5331407552290146,0.6222934946084419,0.0006388180597881606, 0.028631399763478442,0.027293929927444695,1.4473379205232848, 0.7155891176762954,0.47576433871634627,0.37067290359687743,0.0014089249713822927, 0.05613460324390089,0.024065928648919946,0.0,0.0
28,2.67848319,1.123991730833811,1.380069570958471,0.010296276386866626,-1.0093379839467993, -0.6844621997164805,0.527985774330421,0.19574881294916652,0.0005629858743130562, 0.026504879298806443,0.027840037974807025,1.4556206297494128, 0.6638239146664306,0.4963685430677682,0.33170154725418166,0.0013981139364185905, 0.06385864518909887,0.02615949264610597,0.0,0.0
29,2.55093637,1.123991730833811,1.3845941829398818,0.009783788973010925,-1.0117844341090214, -0.6755858864935724,0.5310732535531655,0.5016926541593145,0.00042548029932577245, 0.029469047329605966,0.02729530951877056,1.4604949717658, 0.6301436658860204,0.5001553842638677,0.20805108531590433,0.0013398290751474242, 0.07773524485136196,0.0322922799541003,0.0,0.0
30,2.42946321,1.123991730833811,1.5814929966708777,0.020169586663026432,-1.0050705710402081, -0.6434354162423978,0.562510643871675,0.7524683771421063,0.0005463530599009281, 0.02416953684472366,0.022982667831314432,1.4590647123840996, 0.6851104590538949,0.4837630240718579,0.4718136632778215,0.0014436351237443407, 0.06622970016608334,0.027765748845287895,0.0,0.0
31,2.31377449,1.123991730833811,1.403741781596346,0.01261430770148692,-1.010316362073311, -0.7382754649635879,0.4662787143542724,0.2397018135264426,0.0005533260155032225, 0.02959232679883853,0.02782301416471525,1.4630168898910523, 0.6107390993641716,0.5079177997767875,0.6017340691026299,0.0014989596596718608, 0.0763025678706413,0.031912342976729194,0.0,0.0
