omega,S,S_p,S_c
11.575000000000001,0.0003086614782151976,0.0,0.0003086614782151976
11.58,0.00029452431127404354,0.0,0.00029452431127404354
11.585,0.0002850995333132741,0.0,0.0002850995333132741
11.59,0.00032751103413673635,0.0,0.00032751103413673635
11.595,0.00029923670025442826,0.0,0.00029923670025442826
11.6,0.00028038714433288944,0.0,0.00028038714433288944
11.605,0.00028274333882308175,0.0,0.00028274333882308175
11.61,0.00026860617188192775,0.0,0.00026860617188192775
11.615,0.0002497566159603889,0.0,0.0002497566159603889
11.620000000000001,0.00024975661596038894,0.0,0.00024975661596038894
11.625,0.0002756747553525047,0.0,0.0002756747553525047
11.63,0.0002497566159603889,0.0,0.0002497566159603889
11.635,0.00024504422698000416,0.0,0.00024504422698000416
11.64,0.00027331856086231236,0.0,0.00027331856086231236
11.645,0.0002497566159603889,0.0,0.0002497566159603889
11.65,0.0002497566159603889,0.0,0.0002497566159603889
11.655,0.00031101767270539,0.0,0.00031101767270539
11.66,0.00023090706003885012,0.0,0.00023090706003885012
11.665000000000001,0.0003157300616857747,0.0,0.0003157300616857747
11.67,0.00025211281045058124,0.0,0.00025211281045058124
11.675,0.00028745572780346647,0.0,0.00028745572780346647
11.68,0.00023797564350942714,0.0,0.00023797564350942714
11.685,0.0002591813939211583,0.0,0.0002591813939211583
11.69,0.00025211281045058124,0.0,0.00025211281045058124
11.695,0.0002686061718819277,0.0,0.0002686061718819277
11.700000000000001,0.00032515483964654405,0.0,0.00032515483964654405
11.705,0.00025682519943096596,0.0,0.00025682519943096596
11.71,0.0002450442269800042,0.0,0.0002450442269800042
11.715,0.00023326325452904247,0.0,0.00023326325452904247
11.72,0.00025682519943096596,0.0,0.00025682519943096596
11.725,0.00022619467105846545,0.0,0.00022619467105846545
11.73,0.0002144136986075037,0.0,0.0002144136986075037
11.735,0.0002544690049407736,0.0,0.0002544690049407736
11.74,0.000263893782901543,0.0,0.000263893782901543
11.745000000000001,0.00022148228207808073,0.0,0.00022148228207808073
11.75,0.0002450442269800042,0.0,0.0002450442269800042
11.755,0.0002497566159603889,0.0,0.0002497566159603889
11.76,0.00032515483964654405,0.0,0.00032515483964654405
11.765,0.0002214822820780807,0.0,0.0002214822820780807
11.77,0.00024033183799961953,0.0,0.00024033183799961953
11.775,0.0002756747553525048,0.0,0.0002756747553525048
11.78,0.00027331856086231236,0.0,0.00027331856086231236
11.785,0.00027331856086231236,0.0,0.00027331856086231236
11.790000000000001,0.00026624997739173534,0.0,0.00026624997739173534
11.795,0.00018378317023500318,0.0,0.00018378317023500318
11.8,0.00020734511513692666,0.0,0.00020734511513692666
11.805,0.00024975661596038894,0.0,0.00024975661596038894
11.81,0.00027803094984269714,0.0,0.00027803094984269714
11.815,0.0003039490892348129,0.0,0.0003039490892348129
11.82,0.00024268803248981188,0.0,0.00024268803248981188
11.825000000000001,0.00024033183799961953,0.0,0.00024033183799961953
11.83,0.00025682519943096596,0.0,0.00025682519943096596
11.835,0.0002497566159603889,0.0,0.0002497566159603889
11.84,0.0002686061718819277,0.0,0.0002686061718819277
11.845,0.00022383847656827307,0.0,0.00022383847656827307
11.85,0.00022383847656827307,0.0,0.00022383847656827307
11.855,0.0002191260875878884,0.0,0.0002191260875878884
11.86,0.00022383847656827307,0.0,0.00022383847656827307
11.865,0.00019792033717615725,0.0,0.00019792033717615725
11.870000000000001,0.00024268803248981186,0.0,0.00024268803248981186
11.875,0.00024033183799961953,0.0,0.00024033183799961953
11.88,0.00018849555921538787,0.0,0.00018849555921538787
11.885,0.0002474004214701966,0.0,0.0002474004214701966
11.89,0.0001814269757448108,0.0,0.0001814269757448108
11.895,0.00019320794819577253,0.0,0.00019320794819577253
11.9,0.00016493361431346438,0.0,0.00016493361431346438
11.905,0.0002285508655486578,0.0,0.0002285508655486578
11.91,0.00023797564350942714,0.0,0.00023797564350942714
11.915000000000001,0.00019556414268596492,0.0,0.00019556414268596492
11.92,0.00014844025288211792,0.0,0.00014844025288211792
11.925,0.00023797564350942714,0.0,0.00023797564350942714
11.93,0.00022855086554865778,0.0,0.00022855086554865778
11.935,0.00022619467105846545,0.0,0.00022619467105846545
11.94,0.00028981192229365877,0.0,0.00028981192229365877
11.945,0.00021676989309769604,0.0,0.00021676989309769604
11.950000000000001,0.00015550883635269497,0.0,0.00015550883635269497
11.955,0.00023326325452904247,0.0,0.00023326325452904247
11.96,0.0002191260875878884,0.0,0.0002191260875878884
11.965,0.00016728980880365672,0.0,0.00016728980880365672
11.97,0.0002073451151369266,0.0,0.0002073451151369266
11.975,0.00024268803248981188,0.0,0.00024268803248981188
11.98,0.00016728980880365672,0.0,0.00016728980880365672
11.985,0.00019556414268596492,0.0,0.00019556414268596492
11.99,0.0001908517537055802,0.0,0.0001908517537055802
11.995000000000001,0.00018142697574481082,0.0,0.00018142697574481082
12.0,0.0001460840583919256,0.0,0.0001460840583919256
12.005,0.00023326325452904247,0.0,0.00023326325452904247
12.01,0.00019556414268596492,0.0,0.00019556414268596492
12.015,0.00024268803248981188,0.0,0.00024268803248981188
12.02,0.00016257741982327202,0.0,0.00016257741982327202
12.025,0.0002285508655486578,0.0,0.0002285508655486578
12.030000000000001,0.0001861393647251955,0.0,0.0001861393647251955
12.035,0.00012487830798019444,0.0,0.00012487830798019444
12.040000000000001,0.00019320794819577253,0.0,0.00019320794819577253
12.045,0.0002144136986075037,0.0,0.0002144136986075037
12.05,0.0002191260875878884,0.0,0.0002191260875878884
12.055,0.0001413716694115409,0.0,0.0001413716694115409
12.06,0.00016728980880365674,0.0,0.00016728980880365674
12.065,0.00017435839227423377,0.0,0.00017435839227423377
12.07,0.0001908517537055802,0.0,0.0001908517537055802
12.075000000000001,0.00017435839227423377,0.0,0.00017435839227423377
12.08,0.00020263272615654194,0.0,0.00020263272615654194
12.085,0.000155508836352695,0.0,0.000155508836352695
12.09,0.0002002765316663496,0.0,0.0002002765316663496
12.095,0.00021205750411731132,0.0,0.00021205750411731132
12.1,0.00016964600329384908,0.0,0.00016964600329384908
12.105,0.00011545353001942507,0.0,0.00011545353001942507
12.11,0.00019320794819577253,0.0,0.00019320794819577253
12.115,0.00020027653166634958,0.0,0.00020027653166634958
12.120000000000001,0.00013194689145077152,0.0,0.00013194689145077152
12.125,0.00013665928043115618,0.0,0.00013665928043115618
