i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
49.0,0.4714,0.464,0.0412,0.4796,0.4972,0.0313,0.42973188,0.74257668,0.24868743,0.3581099,0.1023,0.1411,0.0,0.0,0.4721,0.0003,0.0007,0.0694041,0.0,0.0
50.0,0.4632,0.4995,0.0416,0.466,0.4669,0.0266,0.42973188,0.6188139,0.24868743,0.3581099,0.0861,0.12,0.0,0.0,0.4643,0.0002,0.0003,0.0694041,0.0,0.0
51.0,0.4783,0.4777,0.04,0.455,0.4876,0.026,0.3581099,0.6188139,0.24868743,0.29842491,0.0719,0.1033,0.0,0.0,0.4884,0.0004,0.0008,0.05783675,0.0,0.0
52.0,0.4739,0.4718,0.0387,0.4551,0.4865,0.0254,0.3581099,0.6188139,0.24868743,0.29842491,0.0627,0.0929,0.0,0.0,0.4812,0.0,0.0,0.05783675,0.0,0.0
53.0,0.4692,0.5143,0.0389,0.4663,0.4709,0.0247,0.3581099,0.51567825,0.20723952,0.29842491,0.0477,0.0699,0.0,0.0,0.4722,0.0,0.0,0.05783675,0.0,0.0
54.0,0.4886,0.5014,0.0371,0.4588,0.4955,0.0231,0.29842491,0.51567825,0.20723952,0.24868743,0.0398,0.0636,0.0,0.0,0.4584,0.0,0.0,0.05783675,0.0,0.0
55.0,0.4807,0.484,0.0335,0.457,0.4931,0.0227,0.29842491,0.51567825,0.20723952,0.24868743,0.0249,0.0446,0.0,0.0,0.4851,0.0,0.0,0.04819729,0.0,0.0
56.0,0.4747,0.4708,0.0321,0.4716,0.4817,0.0226,0.29842491,0.51567825,0.1726996,0.24868743,0.0209,0.0375,0.0,0.0,0.475,0.0,0.0,0.04819729,0.0,0.0
57.0,0.4679,0.5068,0.0312,0.4604,0.464,0.0198,0.29842491,0.42973188,0.1726996,0.24868743,0.0116,0.0283,0.0,0.0,0.4684,0.0,0.0,0.04819729,0.0,0.0
58.0,0.4604,0.4966,0.0293,0.4784,0.4873,0.0198,0.29842491,0.42973188,0.14391634,0.20723952,0.0132,0.0239,0.0,0.0,0.4921,0.0,0.0,0.04016441,0.0,0.0
59.0,0.4761,0.4682,0.0281,0.4776,0.4914,0.0181,0.24868743,0.42973188,0.14391634,0.20723952,0.0088,0.0129,0.0,0.0,0.4833,0.0,0.0,0.04016441,0.0,0.0
60.0,0.4689,0.4647,0.0279,0.4735,0.4787,0.0194,0.24868743,0.42973188,0.14391634,0.20723952,0.0066,0.0105,0.0,0.0,0.4756,0.0,0.0,0.04016441,0.0,0.0
61.0,0.4608,0.4979,0.0267,0.4689,0.4772,0.0201,0.24868743,0.3581099,0.14391634,0.20723952,0.0024,0.0059,0.0,0.0,0.4676,0.0,0.0,0.04016441,0.0,0.0
62.0,0.4531,0.4874,0.026,0.4687,0.4747,0.0191,0.24868743,0.3581099,0.14391634,0.20723952,0.0009,0.0065,0.0,0.0,0.4613,0.0,0.0,0.04016441,0.0,0.0
63.0,0.4765,0.4759,0.0253,0.4604,0.462,0.017,0.20723952,0.3581099,0.14391634,0.20723952,0.0002,0.002,0.0,0.0,0.4553,0.0,0.0,0.04016441,0.0,0.0
64.0,0.4675,0.5104,0.0229,0.4749,0.4862,0.0174,0.20723952,0.29842491,0.11993028,0.1726996,0.0005,0.0015,0.0,0.0,0.4773,0.0,0.0,0.03347034,0.0,0.0
65.0,0.4667,0.5005,0.022,0.469,0.4743,0.016,0.20723952,0.29842491,0.11993028,0.1726996,0.0005,0.0017,0.0,0.0,0.4671,0.0,0.0,0.03347034,0.0,0.0
66.0,0.4486,0.4745,0.0202,0.4621,0.4599,0.0144,0.20723952,0.29842491,0.11993028,0.1726996,0.0003,0.0014,0.0,0.0,0.4609,0.0,0.0,0.03347034,0.0,0.0
67.0,0.4639,0.4542,0.0189,0.4719,0.4849,0.0147,0.1726996,0.29842491,0.0999419,0.14391634,0.0005,0.0003,0.0,0.0,0.4787,0.0,0.0,0.02789195,0.0,0.0
68.0,0.4582,0.4964,0.0184,0.4697,0.4762,0.0151,0.1726996,0.24868743,0.0999419,0.14391634,0.0,0.0,0.0,0.0,0.4728,0.0,0.0,0.02789195,0.0,0.0
69.0,0.4793,0.4786,0.0173,0.4612,0.4642,0.0133,0.14391634,0.24868743,0.0999419,0.14391634,0.0,0.0,0.0,0.0,0.4614,0.0,0.0,0.02789195,0.0,0.0
