i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_Ac,ar_Ap,∆Ac,∆Ap
68.0,0.4804,0.4746,0.0354,0.4636,0.4907,0.1203,0.2212,0.4115,1.5851,1.7067,0.3685,0.472,0.0,0.0,0.4581,0.0,0.0,0.0
69.0,0.4724,0.453,0.0338,0.4793,0.4731,0.1168,0.2212,0.4115,1.3209,1.7067,0.364,0.4525,0.0,0.0,0.5089,0.0,0.0,0.0
70.0,0.4628,0.5003,0.0333,0.4805,0.4739,0.1151,0.2212,0.3429,1.3209,1.7067,0.34,0.4165,0.0,0.0,0.4908,0.0,0.0,0.0
71.0,0.4849,0.4777,0.0311,0.4702,0.5107,0.1153,0.1843,0.3429,1.3209,1.4222,0.3145,0.5395,0.0,0.0,0.4706,0.0,0.0,0.0
72.0,0.4777,0.4637,0.031,0.4673,0.5055,0.1175,0.1843,0.3429,1.3209,1.4222,0.2825,0.4525,0.0,0.0,0.4575,0.0,0.0,0.0
73.0,0.4742,0.5087,0.0314,0.4588,0.4798,0.1127,0.1843,0.2858,1.3209,1.4222,0.2665,0.4915,0.0,0.0,0.508,0.0,0.0,0.0
74.0,0.464,0.4976,0.0285,0.4808,0.4724,0.1138,0.1843,0.2858,1.1007,1.4222,0.243,0.5225,0.0,0.0,0.4874,0.0,0.0,0.0
75.0,0.487,0.4848,0.0268,0.4725,0.5153,0.111,0.1536,0.2858,1.1007,1.1852,0.21,0.485,0.0,0.0,0.4733,0.0,0.0,0.0
76.0,0.4757,0.5196,0.0274,0.4669,0.5035,0.1097,0.1536,0.2381,1.1007,1.1852,0.244,0.543,0.0,0.0,0.4589,0.0,0.0,0.0
77.0,0.4679,0.5059,0.0247,0.4864,0.4873,0.1077,0.1536,0.2381,0.9173,1.1852,0.1725,0.542,0.0,0.0,0.5045,0.0,0.0,0.0
78.0,0.4908,0.4858,0.0248,0.4788,0.4791,0.1046,0.128,0.2381,0.9173,1.1852,0.1785,0.488,0.0,0.0,0.489,0.0,0.0,0.0
79.0,0.4796,0.4722,0.0232,0.4735,0.4658,0.1019,0.128,0.2381,0.9173,1.1852,0.136,0.5015,0.0,0.0,0.4696,0.0,0.0,0.0
80.0,0.4704,0.5045,0.0222,0.4698,0.5029,0.1022,0.128,0.1985,0.9173,0.9876,0.1215,0.484,0.0,0.0,0.5156,0.0,0.0,0.0
81.0,0.4615,0.4968,0.0227,0.4698,0.5008,0.1048,0.128,0.1985,0.9173,0.9876,0.121,0.467,0.0,0.0,0.4972,0.0,0.0,0.0
82.0,0.4857,0.4779,0.0194,0.4667,0.4959,0.1032,0.1067,0.1985,0.9173,0.9876,0.1005,0.4775,0.0,0.0,0.4845,0.0,0.0,0.0
83.0,0.4793,0.4701,0.0192,0.4569,0.4868,0.1021,0.1067,0.1985,0.9173,0.9876,0.061,0.5305,0.0,0.0,0.4706,0.0,0.0,0.0
84.0,0.4667,0.5033,0.018,0.4785,0.4745,0.1035,0.1067,0.1654,0.7644,0.9876,0.0635,0.4895,0.0,0.0,0.5156,0.0,0.0,0.0
85.0,0.4562,0.492,0.0174,0.4745,0.5147,0.1008,0.1067,0.1654,0.7644,0.823,0.0575,0.4785,0.0,0.0,0.4997,0.0,0.0,0.0
86.0,0.4799,0.475,0.0162,0.4641,0.4941,0.1032,0.0889,0.1654,0.7644,0.823,0.04,0.497,0.0,0.0,0.486,0.0,0.0,0.0
87.0,0.475,0.467,0.0169,0.4553,0.4813,0.1027,0.0889,0.1654,0.7644,0.823,0.0265,0.49,0.0,0.0,0.4691,0.0,0.0,0.0
88.0,0.4624,0.5063,0.0172,0.4735,0.5136,0.1012,0.0889,0.1378,0.637,0.6859,0.025,0.47,0.0,0.0,0.5126,0.0,0.0,0.0
89.0,0.4542,0.4931,0.0145,0.4639,0.4938,0.1018,0.0889,0.1378,0.637,0.6859,0.025,0.474,0.0,0.0,0.5011,0.0,0.0,0.0
90.0,0.4781,0.4743,0.0146,0.4849,0.4767,0.1011,0.0741,0.1378,0.5308,0.6859,0.015,0.449,0.0,0.0,0.4849,0.0,0.0,0.0
91.0,0.4729,0.5103,0.0147,0.4787,0.5153,0.1036,0.0741,0.1148,0.5308,0.5716,0.019,0.419,0.0,0.0,0.4695,0.0,0.0,0.0
92.0,0.462,0.4958,0.0137,0.4685,0.5077,0.0999,0.0741,0.1148,0.5308,0.5716,0.0095,0.4035,0.0,0.0,0.5168,0.0,0.0,0.0
93.0,0.4861,0.4916,0.0129,0.463,0.4949,0.0971,0.0617,0.1148,0.5308,0.5716,0.0,0.361,0.0,0.0,0.4997,0.0,0.0,0.0
94.0,0.4775,0.4742,0.013,0.4832,0.4767,0.0985,0.0617,0.1148,0.4424,0.5716,0.003,0.334,0.0,0.0,0.483,0.0,0.0,0.0
95.0,0.4725,0.5137,0.0129,0.4748,0.4616,0.0949,0.0617,0.0957,0.4424,0.5716,0.002,0.329,0.0,0.0,0.4688,0.0,0.0,0.0
96.0,0.4616,0.5064,0.0123,0.4618,0.4886,0.0945,0.0617,0.0957,0.4424,0.4763,0.0,0.323,0.0,0.0,0.4496,0.0,0.0,0.0
97.0,0.4859,0.4883,0.0111,0.4876,0.4836,0.0977,0.0514,0.0957,0.3686,0.4763,0.0,0.263,0.0,0.0,0.4954,0.0,0.0,0.0
98.0,0.4774,0.4733,0.0108,0.477,0.521,0.0958,0.0514,0.0957,0.3686,0.3969,0.001,0.282,0.0,0.0,0.485,0.0,0.0,0.0
99.0,0.4697,0.5146,0.0111,0.469,0.499,0.0946,0.0514,0.0798,0.3686,0.3969,0.0,0.284,0.0,0.0,0.4683,0.0,0.0,0.0
100.0,0.4605,0.4984,0.0097,0.4639,0.4892,0.0969,0.0514,0.0798,0.3686,0.3969,0.0,0.1985,0.0,0.0,0.5153,0.0,0.0,0.0
101.0,0.4848,0.4858,0.0092,0.4576,0.4828,0.0963,0.0429,0.0798,0.3686,0.3969,0.0,0.205,0.0,0.0,0.4965,0.0,0.0,0.0
102.0,0.4779,0.4702,0.0097,0.4769,0.4635,0.0959,0.0429,0.0798,0.3072,0.3969,0.0,0.2115,0.0,0.0,0.4836,0.0,0.0,0.0
103.0,0.4664,0.5074,0.0097,0.4682,0.5022,0.0966,0.0429,0.0665,0.3072,0.3308,0.0,0.1765,0.0,0.0,0.4646,0.0,0.0,0.0
104.0,0.4566,0.4899,0.0085,0.4639,0.4938,0.0936,0.0429,0.0665,0.3072,0.3308,0.0,0.1765,0.0,0.0,0.5115,0.0,0.0,0.0
105.0,0.4822,0.4841,0.0094,0.4844,0.4786,0.0949,0.0357,0.0665,0.256,0.3308,0.0,0.1795,0.0,0.0,0.4964,0.0,0.0,0.0
106.0,0.4722,0.4622,0.0094,0.4792,0.4688,0.0952,0.0357,0.0665,0.256,0.3308,0.0,0.133,0.0,0.0,0.4818,0.0,0.0,0.0
107.0,0.4641,0.5101,0.0087,0.4718,0.5096,0.0935,0.0357,0.0554,0.256,0.2756,0.0,0.063,0.0,0.0,0.4589,0.0,0.0,0.0
108.0,0.4569,0.4915,0.0081,0.467,0.4989,0.0891,0.0357,0.0554,0.256,0.2756,0.0,0.111,0.0,0.0,0.5068,0.0,0.0,0.0
