omega,S
-13.450000000000001,0.005362504131111436
-13.440000000000001,0.005406818715459782
-13.430000000000001,0.005396466097173151
-13.420000000000002,0.005418979332926902
-13.410000000000002,0.005594601960659547
-13.400000000000002,0.005529097949442579
-13.390000000000002,0.005513654552902972
-13.380000000000003,0.00557927555600877
-13.370000000000001,0.005614573914383587
-13.360000000000001,0.005576276625433129
-13.350000000000001,0.005441355257577238
-13.340000000000002,0.005699304474103101
-13.330000000000002,0.00569272562406471
-13.320000000000002,0.005859115101549614
-13.310000000000002,0.005686125883459621
-13.300000000000002,0.005775812266915228
-13.290000000000003,0.005788047653179626
-13.280000000000001,0.005824712483730036
-13.270000000000001,0.0057934247434647404
-13.260000000000002,0.005556818306025723
-13.250000000000002,0.0057032391779359036
-13.240000000000002,0.00563693340386097
