i,theta,chi2_min,chi2_avg
32.0,0.5209868481924358,1.1749545266923458,2.4361726786728126
33.0,0.47362440744766887,0.7069637157856712,1.9538856646252323
34.0,0.4305676431342444,0.5899875163077994,1.9028080071398519
35.0,0.39142513012204033,0.5899875163077994,1.789377068663824
36.0,0.355841027383673,0.5899875163077994,1.469351039597151
37.0,0.3234918430760664,0.5899875163077994,1.4689067497108679
38.0,0.29408349370551484,0.4974046959967931,1.2860048443958296
39.0,0.2673486306413771,0.4974046959967931,1.2609726557829133
40.0,0.24304420967397916,0.363173040927356,0.8266492096240428
41.0,0.2209492815217992,0.363173040927356,0.9340507473881081
42.0,0.20086298320163562,0.28535598401710327,0.7285744784023329
43.0,0.18260271200148692,0.28535598401710327,0.6380496634951179
44.0,0.1660024654558972,0.2579749083784163,0.6318994823530132
45.0,0.1509113322326338,0.2579749083784163,0.662909269569528
46.0,0.13719212021148527,0.18158140054542798,0.43104016823579
47.0,0.12472010928316841,0.18158140054542798,0.49245889917681396
48.0,0.1133819175301531,0.18158140054542798,0.43781503879243144
49.0,0.10307447048195735,0.16154205920989034,0.40516427764874624
50.0,0.09370406407450667,0.15294567266383258,0.3514716313816628
51.0,0.08518551279500605,0.1396398615128502,0.2809747517141578
52.0,0.07744137526818731,0.11550826723082154,0.27182169865674766
53.0,0.07040125024380664,0.11550826723082154,0.27968501065172907
54.0,0.06400113658527876,0.11550826723082154,0.2470239604210273
55.0,0.0581828514411625,0.11550826723082154,0.22492849525976852
56.0,0.05289350131014772,0.10869942361546617,0.19794443954951985
57.0,0.04808500119104338,0.10502210160347099,0.17373130333180287
58.0,0.04371363744640307,0.0788992663911732,0.15302139414026888
59.0,0.039739670405820965,0.0788992663911732,0.15227591514811756
60.0,0.03612697309620087,0.0788992663911732,0.14600292920531935
61.0,0.032842702814728064,0.060839694550211015,0.12066851330800338
62.0,0.02985700255884369,0.060839694550211015,0.12402769478902004
63.0,0.027142729598948808,0.055907851743507354,0.0936903633991734
64.0,0.024675208726317097,0.055907851743507354,0.11387916896561706
65.0,0.02243200793301554,0.055252803974531736,0.0881671797433669
66.0,0.02039273448455958,0.055252803974531736,0.10341242942552749
67.0,0.018538849531417798,0.055252803974531736,0.09282051365570367
68.0,0.01685349957401618,0.055252803974531736,0.09332143867318016
69.0,0.015321363249105616,0.04741587174803346,0.07214951280666229
70.0,0.013928512044641468,0.04644657697882703,0.06428322652706556
71.0,0.012662283676946788,0.03837735767799212,0.05731550315845098
72.0,0.011511166979042534,0.03169000303303658,0.04491622927247802
73.0,0.010464697253675031,0.030782271292517347,0.04323254239555259
74.0,0.009513361139704572,0.03039565513865083,0.045418134152947376
75.0,0.008648510127004155,0.02875904646008722,0.04169336567240975
76.0,0.007862281933640141,0.02875904646008722,0.041098891582562865
77.0,0.007147529030581946,0.02875904646008722,0.047272437822319664
78.0,0.006497753664165405,0.02875904646008722,0.04270278051376078
79.0,0.005907048785604913,0.02875904646008722,0.04090414373285744
80.0,0.005370044350549921,0.02875904646008722,0.03657503987902053
81.0,0.004881858500499927,0.027134972182695567,0.0334008716750089
82.0,0.0044380531822726605,0.02391699629784579,0.030781605923239284
83.0,0.004034593802066055,0.02293098635877318,0.028083913688762063
84.0,0.0036678125473327767,0.01892010600660466,0.02370696383855935
85.0,0.003334375043029797,0.01891247753517176,0.024143741109573236
86.0,0.0030312500391179967,0.01595594516076172,0.019435415855175428
87.0,0.002755681853743633,0.014870303728215805,0.01809044009357432
88.0,0.0025051653215851207,0.012922643800117223,0.016229144236128593
89.0,0.002277423019622837,0.012922643800117223,0.017262563023972288
90.0,0.002070384563293488,0.012922643800117223,0.01783065552130542
91.0,0.0018821677848122617,0.011636849894144066,0.01445014454721025
92.0,0.0017110616225566014,0.011636849894144066,0.015004749766008177
93.0,0.0015555105659605466,0.011636849894144066,0.014944320976165031
