j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
10,4.24097618,0.25143288481435666,3.0427867555393124,0.058034834797080166,1.3326924875871764, 2.830985319150854,0.4905755013877015,0.5094318406527265,0.002085773095976813, 0.044344869703366596,0.009740605418926596,-1.3360762108243407, -2.9152727006075283,0.5038196527479789,0.521235337432419,0.002177839121187312, 0.046720641588259074,0.009234551244327469,0.0,0.0
11,3.85543289,0.25143288481435666,3.0536499257973535,0.12847428880872575,1.3307375582636924, 2.9292432070198933,0.5106502008872256,0.8352468303748931,0.0018747442896819265, 0.036860451941143055,0.00778675773576986,-1.3343277881152367, -2.904027074691811,0.5020598750361182,0.8742040564119601,0.0025954659977372417, 0.05198564659210117,0.010991198407076989,0.0,0.0
12,3.50493899,0.25143288481435666,2.5656372713189746,0.07967315332934842,1.331804208087022, 2.854476806764905,0.49494061109365123,0.03595251783480954,0.002824827819534679, 0.050403745470434344,0.01023196563915934,-1.339921601115337, -2.9102124716036215,0.5056130438479429,0.3380867173244025,0.002930912836700639, 0.031454114759985594,0.00648920687355179,0.0,0.0
13,3.18630818,0.24198100767226163,2.2737072157010663,0.062305115057422575,1.332470155645854, 2.90574187775487,0.506013320719094,0.29448246129452554,0.002071714381007887, 0.04725142668673837,0.008771700057418612,-1.3383427690245435, -2.8573971262087094,0.4915992307862549,0.46781772339521543,0.0016764587687142624, 0.04401686656839004,0.009125569044506492,0.0,0.0
14,2.8966438,0.24198100767226163,2.2883846667055767,0.07355270824649672,1.328326711484465, 2.8423488373306176,0.49766548250466747,0.05095847295264433,0.0016070084168452626, 0.04568559379338248,0.009433617130735993,-1.3366875232726694, -2.976273490284126,0.5180914065087278,0.27273940822086673,0.0024837421553104647, 0.04545158511722387,0.008942598510558997,0.0,0.0
15,2.63331254,0.23268291860862786,1.915781593882399,0.04145186338205768,1.326003363747375, 2.8121205235122813,0.48805077380573125,0.8107210696156893,0.002835192444746592, 0.058904687515695206,0.012018322790773507,-1.3372997094151657, -2.879813835681672,0.49892347530536824,0.4432636953296358,0.0033749487651223774, 0.04674421418782177,0.009322127016990247,0.0,0.0
16,2.39392049,0.23268291860862786,1.6708710003628262,0.03654307054338773,1.3360902628488511, 2.8665524658759822,0.4959580463743111,0.565862983423299,0.0026627326077762296, 0.06148338585713022,0.012332707044172619,-1.3400656426272957, -2.92855000123416,0.5079597707989313,0.8364986792296729,0.0023219805187034283, 0.05365995913991261,0.010941975944457318,0.0,0.0
17,2.17629136,0.23268291860862786,1.725988311355656,0.05827072326098066,1.3301860840887445, 2.8739735815811405,0.4983853161059918,0.1625286951772355,0.003473807870929743, 0.057022328942431116,0.011179120605116109,-1.3405335097517486, -2.929852320625577,0.5074755788767904,0.5037223478014438,0.002337980406006541, 0.05446443586746574,0.010865704274937125,0.0,0.0
18,1.97844669,0.23268291860862786,1.6996947841172747,0.06235162454207947,1.3287429674702422, 2.841746177355581,0.49133310627250004,0.2992359418982865,0.002492618975294631, 0.06084936197535715,0.012578454439712517,-1.3361253529929789, -2.8043707119571137,0.481801886747404,0.05550060004071037,0.001993253048337441, 0.04845198550303176,0.009949447475600058,0.0,0.0
19,1.7985879,0.23268291860862786,1.520298365870291,0.059171523238327785,1.3293877404489134, 2.9255813519655662,0.5096901646092948,0.9254428873152064,0.002018676325868547, 0.06532191388995463,0.012607914436103014,-1.3349942161278199, -2.9100244017048325,0.5005851881688073,0.9158351807088665,0.0020412569348432345, 0.0582324444359968,0.01169244359425532,0.0,0.0
20,1.63507991,0.2212286734004678,1.41101976233751,0.04027035127917396,1.3386328713418136, 2.855120488143439,0.49518923601403253,0.3318943995165484,0.00220329672420225, 0.04538324476633665,0.009580083660397505,-1.3284284242199722, -2.8883558339604303,0.5016335088451298,0.37959368789963943,0.0019547475521819505, 0.04776795941291415,0.009350593254771514,0.0,0.0
21,1.48643628,0.2212286734004678,1.2925902266923057,0.04689237645573489,1.3302110985785305, 2.875455417063271,0.5016847286247494,0.9268419041163227,0.002224619815684837, 0.05785713877969358,0.012204075010098027,-1.3369792267464042, -2.897996244285376,0.5010924576569725,0.035757570441735775,0.0018565090296267445, 0.08037563316482745,0.015724602722425672,0.0,0.0
22,1.35130571,0.2212286734004678,1.1813759381205466,0.03663965971132967,1.3443158602991048, 2.8719798936078513,0.49856791767585557,0.40381819630570276,0.0030700218128565035, 0.07259690433318414,0.014661379404624073,-1.346348007331009, -2.876318403118679,0.4982915663777418,0.13895857803388018,0.0023239627154928695, 0.06552922963342186,0.013793064854240105,0.0,0.0
23,1.22845974,0.2212286734004678,1.231599081899695,0.058561201397050705,1.3319319951433664, 2.800279867172402,0.48586724022446315,0.34347781516798354,0.002003208413563648, 0.05586911579890002,0.010886102420441213,-1.3335629817041517, -2.9626580639151,0.5154860375238606,0.42484840894937853,0.002294026671878039, 0.0785607951515924,0.015202017466643897,0.0,0.0
24,1.11678158,0.20327459940371478,0.9433543248355558,0.02852063254347146,1.339949519899878, 2.8886184702544844,0.5004618442494366,0.4848709304102917,0.002400802876124076, 0.07592844766806527,0.015635645210319484,-1.3429661538447304, -2.810359695511866,0.4857857071114414,0.8393199209137855,0.0029351956908400026, 0.057723385990728876,0.011752075060420277,0.0,0.0
25,1.01525598,0.20327459940371478,0.8987308953935638,0.02688788563778719,1.345757414499392, 2.790740184644071,0.48185022692301754,0.24191017456330416,0.0020881316870430596, 0.060027155003332194,0.012415247520570457,-1.351927144926812, -2.993173638809845,0.5177720945377311,0.7795676117932969,0.0033214376502192933, 0.08453744328602748,0.016881579752029516,0.0,0.0
