j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
10,6.44608916,455232.00449199183,457485.7946597086,294.0815143976075,1.1110247178422834, 1.8040124558301873,0.48730985422164086,0.4485307245767176,9.896791921302043e-5, 0.029986960912391558,0.007257827024450621,-1.3455078836048526, -1.743773027418176,0.48194643308836704,0.31767488976893676,0.00073323210225689, 0.027707454937508813,0.008320278187916325,0.0,0.0
11,6.13913254,451255.4710129383,453138.6749646153,259.42328430914563,1.1126313726635428, 1.7952546027408527,0.4864874206499462,0.5527988615360678,0.00010186007309667616, 0.024660888667523136,0.007891979648467936,-1.3569457491560295, -1.8016290830728328,0.5151141030666893,0.15496656303571177,0.0007690783583041918, 0.02772853665507359,0.012531653292668725,0.0,0.0
12,5.84679289,447905.7135635653,449464.0879412397,220.29537845511183,1.1141005708619685, 1.8399038311263927,0.5009232651501196,0.30600172637974254,8.10713332103017e-5, 0.03908493880387821,0.010787334522468009,-1.3664123281112275, -1.7403725968689183,0.4928385691016473,0.5102555446542325,0.0005522697903922263, 0.01901005836020606,0.009348398378022722,0.0,0.0
13,5.56837418,444320.0642946664,446188.22834448464,239.15806692779285,1.1154836514597668, 1.8609167161075462,0.5097223644817236,0.5520754072415226,0.00010312913457251883, 0.033995048139933676,0.009166268965140601,-1.3734545422981987, -1.758844723555453,0.49974196834686613,0.932175824934314,0.0004314208669496218, 0.015509108629379374,0.005370017692257898,0.0,0.0
14,5.30321351,440908.1595210994,442609.2544976786,236.9753943747913,1.1169168781504155, 1.7985465657511495,0.48629349499831936,0.6327765991608867,9.33771254696312e-5, 0.04523713207016251,0.01367287346859436,-1.3807259262135063, -1.7573573461898335,0.49624448526217035,0.6697176216261247,0.0004738940814236901, 0.02069926493137948,0.008248177170515686,0.0,0.0
15,5.05067953,437629.0461331529,439332.0214414957,216.6812782257772,1.1182168084505086, 1.8071297298609839,0.48784630550523006,0.030533681918065103,9.331259039318884e-5, 0.026059826760050378,0.00817545314086522,-1.383286172093903, -1.7693277214352598,0.501229899413868,0.6275419276139957,0.0006846231685976146, 0.017204085727748814,0.009285461318832228,0.0,0.0
16,4.81017098,434904.3342183244,436198.33121086296,181.01202864209725,1.119537929324771, 1.8846419490099486,0.5074162955112385,0.9140164505938408,7.987787730418237e-5, 0.02513634228164754,0.005280113996099633,-1.3742189372079114, -1.7485257058893733,0.4925540250137944,0.898181245927565,0.0021502576211189423, 0.014478740050135532,0.007712687429509567,0.0,0.0
17,4.58111522,431895.7910764704,433412.60086586163,205.04538015252942,1.120472615588458, 1.8165755710580154,0.48756336953386026,0.13128784930199644,6.157454953503674e-5, 0.026507193891345718,0.006426639258921468,-1.2911427467996988, -1.828475150245096,0.5209279953545427,0.5980162010525263,0.008949143875638018, 0.02041713554849498,0.008532114932453833,0.0,0.0
18,4.36296688,428950.5297348136,430534.01367349084,195.4206346660385,1.1215133251048235, 1.9220653078900025,0.5177814496796989,0.9526059638392445,7.630688086853324e-5, 0.04138916852671408,0.01063041874900139,-1.2100727891019267, -1.767905891976687,0.5019202510685815,0.5666792155032427,0.002680198613916294, 0.023946674227304943,0.010135904119218367,0.0,0.0
19,4.15520655,426437.8495060413,427683.37456980173,163.2486300099013,1.1224583750863237, 1.8361300620435699,0.4978504019304565,0.5647923855265129,5.087993097386026e-5, 0.03514541414792191,0.009400880967400174,-1.1645419324629884, -1.75347157629468,0.4957478017105969,0.23036498352963297,0.0026361753207535103, 0.024982781261908834,0.01037590180250934,0.0,0.0
20,3.95733957,424376.5685031533,425363.4723126171,137.32227021570023,1.1232778658808489, 1.8170919012077988,0.4919322706502485,0.32178494429622995,7.495990975284433e-5, 0.03837800086097456,0.012363825222342306,-1.1300895315266062, -1.7671917823219156,0.499413927538248,0.6811647423211846,0.0021230277254424587, 0.021010196288571602,0.007796631450560405,0.0,0.0
21,3.76889483,421950.61641032505,423251.76681076584,168.48928310386282,1.1240269823515079, 1.8744207165760673,0.5106393283273236,0.29837400962657573,5.291249834338928e-5, 0.038068990009994794,0.010428536460444997,-1.1047279477398426, -1.802722712983245,0.5232407604398996,0.025231348989406266,0.0016534931218619032, 0.0269647061039023,0.013597556761090368,0.0,0.0
22,3.58942365,420345.35524728626,421158.14829924743,100.47281449853479,1.124623243749059, 1.8033593793746454,0.4885088541809348,0.28133433641024996,3.971614957018127e-5, 0.04312890792997473,0.010140468598928249,-1.079455243774644, -1.7824463303512306,0.5027023464379436,0.867066444131653,0.0015181742897893051, 0.025888464380928657,0.011173557085607215,0.0,0.0
23,3.41849871,418889.7921818343,419648.56185718364,96.670168476149,1.1251748677522897, 1.8515195548747994,0.4967206946696539,0.0792826140907586,4.973698046877136e-5, 0.045325265273520966,0.01226101025855379,-1.0661676783491925, -1.7866825961351736,0.5021138898622965,0.6982560478322296,0.0009176801951294965, 0.031232957161101842,0.015008548566917763,0.0,0.0
24,3.25571306,416862.8919498163,417948.2847740647,138.1890655130633,1.1258457469513021, 1.902007458880729,0.5122454214261649,0.31834092066055303,7.376469482922735e-5, 0.04098028040345519,0.010840083365717238,-1.051449686880185, -1.7657155393495352,0.49822109404456344,0.4404578899120304,0.0010041269233945908, 0.029044647657008562,0.012676024482468747,0.0,0.0
25,3.1006791,415351.2142858316,416040.0603401502,96.29466495598147,1.1265832347281575, 1.8490469487265169,0.5027249670064282,0.8159171119315667,5.354633159812536e-5, 0.051249469954398025,0.01411718250378152,-1.0349523794879074, -1.7502259069308406,0.4881233588809975,0.43046041356054693,0.0008845029301557523, 0.02405774913109757,0.011337970762893732,0.0,0.0
26,2.95302772,413896.55976663163,414597.5936947388,95.83368191229299,1.1270888884393844, 1.7592825095150828,0.4784953895523242,0.5674607488757928,4.868303776185419e-5, 0.031362164875673726,0.008179527578992112,-1.0255597692316847, -1.7849722109480246,0.5096888425197956,0.8907747742341164,0.00041872811451447797, 0.033095205735475114,0.015311490462618002,0.0,0.0
27,2.81240735,412656.09223809995,413275.23081775435,79.38847609704219,1.1276380546256215, 1.846540270185884,0.5035750708113257,0.8727126014112407,5.5226908414478246e-5, 0.049707606233889534,0.014383783157595004,-1.0163397442921078, -1.7729552138583382,0.4957970554640843,0.18724716403382496,0.0007121397755422849, 0.026862288507102726,0.01153110832713595,0.0,0.0
