j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
16,2.39392049,0.640995104904795,1.4416561521047944,0.01932503853630891,1.3386421354246427, 2.8784312012769844,0.4981619911422303,0.4897140889552654,0.0011560507515699563, 0.050563382458316306,0.010325327651080605,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
17,2.17629136,0.640995104904795,1.364638057137919,0.0165790336629486,1.3382574368579032, 2.8370592040096874,0.4887486958880786,0.9854535904200517,0.0015114593065869086, 0.06340265501930546,0.013240249023194296,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
18,1.97844669,0.640995104904795,1.3080007595418484,0.01917395010390292,1.3419262906954654, 2.9313417703465583,0.5088471281899272,0.7724836828904998,0.001236561749054199, 0.06456770826205997,0.012512730039800959,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
19,1.7985879,0.640995104904795,1.2962123756299073,0.022543695617898485,1.3418719059984792, 2.9568400491860722,0.5153738327401658,0.11552684580122252,0.001688133104894015, 0.08548851602984363,0.016805153404231665,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
20,1.63507991,0.640995104904795,1.2075324037345079,0.01570510496980565,1.3406290947567727, 3.003895149429437,0.5270010232763871,0.4756079089239018,0.0018462815478779522, 0.051427899466888714,0.010311109852016921,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
21,1.48643628,0.6404401827269032,1.1469096370303473,0.017635971521728355,1.3406778869336884, 2.8564111189768973,0.493034091623484,0.5263568567542272,0.0014624307318692412, 0.06723988055640107,0.013586862282132654,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
22,1.35130571,0.6380760775868519,1.1193987632548608,0.01119239842841498,1.3401532907716474, 2.8416480076609867,0.4889476634172471,0.775688656796501,0.001604560743535294, 0.06970683070696064,0.013574259954949451,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
23,1.22845974,0.6380760775868519,1.0740899157753843,0.016779841143834025,1.3365699809065281, 3.065509394699629,0.5356824478494051,0.8915217381152244,0.0019084872530054826, 0.06931156282973883,0.01360463464079169,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
24,1.11678158,0.6380760775868519,1.0970233380612564,0.028607811138232814,1.3456193975563033, 2.9210728210114487,0.5097292284572846,0.2712167463943755,0.0025460975317036423, 0.06795336666388616,0.012836592978630077,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
25,1.01525598,0.6380760775868519,0.9940426223856659,0.013312092787966781,1.3360634507178042, 2.8432001777213545,0.49239502650557815,0.17430900164925894,0.001779651964648121, 0.08970443768003698,0.018333912509484324,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
26,0.92295998,0.6380760775868519,0.9476823569080987,0.011127121628667355,1.3441753587467733, 3.0349178958620255,0.5293681461982531,0.9613654373828509,0.0014332293425680983, 0.09074333036354171,0.018030310021016235,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
27,0.83905453,0.6380760775868519,0.927871562782639,0.010912355413650375,1.3433672938672008, 2.8970144548236316,0.5028687293758008,0.7805402890040732,0.0011310691550001112, 0.07645206220607942,0.01493161222640417,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
28,0.76277684,0.6380760775868519,0.9137893715162115,0.013387051993159267,1.3418789320785924, 2.7796487083697814,0.47354275708572136,0.014939230902479284,0.0017433431742963983, 0.06660066605328117,0.012658082980918748,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
29,0.69343349,0.6380760775868519,0.8831344533550166,0.009118824829317574,1.344836901414085, 2.821310412601014,0.4835583378153072,0.2994821338825837,0.002459783647515577, 0.08581021179417431,0.017236659117817535,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
