i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
68.0,0.4821,0.4875,0.0609,0.4948,0.4786,0.0712,0.16306801,0.28178151,0.07864005,0.19568161,0.375,0.331,0.0,0.0,0.4685,0.15,0.3013,0.03160367,0.0,2.0e-8
69.0,0.478,0.4691,0.0621,0.4866,0.5268,0.0676,0.16306801,0.28178151,0.07864005,0.16306801,0.336,0.328,0.0,0.0,0.4578,0.152,0.2807,0.03160367,0.0,0.0
70.0,0.469,0.5075,0.0574,0.4757,0.515,0.0637,0.16306801,0.23481793,0.07864005,0.16306801,0.286,0.321,0.0,0.0,0.4906,0.105,0.2022,0.02633639,0.0,0.0
71.0,0.4656,0.4898,0.0558,0.4659,0.4984,0.064,0.16306801,0.23481793,0.07864005,0.16306801,0.289,0.306,0.0,0.0,0.4806,0.087,0.1972,0.02633639,0.0,0.0
72.0,0.4569,0.4775,0.0523,0.4944,0.4737,0.0609,0.16306801,0.23481793,0.06553337,0.16306801,0.233,0.248,0.0,0.0,0.4702,0.083,0.1621,0.02633639,0.0,0.0
73.0,0.4775,0.4752,0.0523,0.4871,0.515,0.0582,0.13589,0.23481793,0.06553337,0.13589,0.237,0.254,0.0,0.0,0.5007,0.076,0.1512,0.02194699,0.0,0.0
74.0,0.4688,0.5065,0.0535,0.475,0.5057,0.0577,0.13589,0.19568161,0.06553337,0.13589,0.235,0.237,0.0,0.0,0.4879,0.059,0.1104,0.02194699,0.0,0.0
75.0,0.4612,0.4953,0.0522,0.4646,0.501,0.055,0.13589,0.19568161,0.06553337,0.13589,0.172,0.188,0.0,0.0,0.4804,0.053,0.0942,0.02194699,0.0,0.0
76.0,0.4585,0.4943,0.0477,0.4582,0.4765,0.0535,0.13589,0.19568161,0.06553337,0.13589,0.195,0.146,0.0,0.0,0.4693,0.027,0.0634,0.02194699,0.0,0.0
77.0,0.4752,0.472,0.0477,0.483,0.4617,0.0496,0.11324167,0.19568161,0.05461114,0.13589,0.125,0.149,0.0,0.0,0.4581,0.029,0.0459,0.02194699,0.0,0.0
78.0,0.4727,0.4625,0.0464,0.4754,0.5146,0.0495,0.11324167,0.19568161,0.05461114,0.11324167,0.097,0.153,0.0,0.0,0.4877,0.028,0.047,0.01828916,0.0,0.0
79.0,0.4666,0.4926,0.0432,0.469,0.499,0.0472,0.11324167,0.16306801,0.05461114,0.11324167,0.095,0.108,0.0,0.0,0.4823,0.024,0.0394,0.01828916,0.0,0.0
80.0,0.486,0.4865,0.0438,0.4906,0.4851,0.0442,0.09436806,0.16306801,0.04550929,0.11324167,0.09,0.075,0.0,0.0,0.4658,0.011,0.0194,0.01828916,0.0,0.0
81.0,0.4794,0.4828,0.0397,0.4828,0.5156,0.0433,0.09436806,0.16306801,0.04550929,0.09436806,0.079,0.093,0.0,0.0,0.4956,0.006,0.019,0.01524097,0.0,0.0
82.0,0.4716,0.463,0.0396,0.4723,0.5112,0.0405,0.09436806,0.16306801,0.04550929,0.09436806,0.057,0.065,0.0,0.0,0.4853,0.017,0.0255,0.01524097,0.0,0.0
83.0,0.464,0.5052,0.0401,0.4655,0.4918,0.0407,0.09436806,0.13589,0.04550929,0.09436806,0.049,0.055,0.0,0.0,0.4762,0.005,0.0104,0.01524097,0.0,0.0
84.0,0.4552,0.4938,0.0376,0.4911,0.4813,0.0374,0.09436806,0.13589,0.03792441,0.09436806,0.051,0.03,0.0,0.0,0.467,0.003,0.0081,0.01524097,0.0,0.0
85.0,0.4795,0.4854,0.0351,0.4803,0.5286,0.038,0.07864005,0.13589,0.03792441,0.07864005,0.039,0.036,0.0,0.0,0.5006,0.0,0.0006,0.01270081,0.0,0.0
86.0,0.4717,0.468,0.0341,0.4703,0.5086,0.0357,0.07864005,0.13589,0.03792441,0.07864005,0.045,0.023,0.0,0.0,0.488,0.002,0.0007,0.01270081,0.0,0.0
87.0,0.4639,0.5042,0.0314,0.4958,0.4962,0.0335,0.07864005,0.11324167,0.03160367,0.07864005,0.021,0.037,0.0,0.0,0.478,0.0,0.0009,0.01270081,0.0,0.0
88.0,0.4576,0.4828,0.031,0.4894,0.4788,0.0307,0.07864005,0.11324167,0.03160367,0.07864005,0.006,0.019,0.0,0.0,0.4669,0.0,0.0,0.01270081,0.0,0.0
89.0,0.4745,0.4817,0.031,0.4785,0.5231,0.0313,0.06553337,0.11324167,0.03160367,0.06553337,0.008,0.013,0.0,0.0,0.4965,0.0,0.0,0.01058401,0.0,0.0
90.0,0.4704,0.5068,0.0282,0.4698,0.5072,0.0301,0.06553337,0.09436806,0.03160367,0.06553337,0.008,0.002,0.0,0.0,0.4855,0.0,0.0,0.01058401,0.0,0.0
0.0,0.523,0.57,0.0923,0.4535,0.5306,0.1236,0.3381,0.4869,0.1359,0.2818,0.5001,0.5,0.0,0.0,0.4818,0.3793,0.4901,0.04550929,1.67e-6,1.79186982
