j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
8,NaN,NaN,0.0,0.4930406852248394,0.012708993133598582,0.4929781139631247,9.246753246753247,0.47639016642113413
9,NaN,NaN,0.0,0.4969444444444445,0.015103439900254003,0.5107647907647908,9.35064935064935,0.46114821946722173
10,NaN,NaN,0.0,0.5067396313364055,0.011936602113998065,0.5002393919444611,8.948051948051948,0.49193797303411124
11,NaN,NaN,0.0,0.4936450839328536,0.010584771529090443,0.4968077486063097,8.623376623376624,0.5646044865581155
12,NaN,NaN,0.0,0.4978802992518704,0.012408130324402647,0.49085079509019663,8.454545454545455,0.47499993866274803
13,NaN,NaN,0.0,0.501171875,0.011848712729840663,0.49496076839826836,8.168831168831169,0.5794918351562209
14,NaN,NaN,0.0,0.49434604904632157,0.010235232205411884,0.5049364804133197,8.194805194805195,0.5353701890641885
15,NaN,NaN,0.0,0.4935714285714285,0.010398678530894736,0.4794805194805196,8.103896103896103,0.45854247366425704
16,NaN,NaN,0.0,0.49573353293413164,0.01201619909487582,0.48689633719573844,7.883116883116883,0.4926268466720353
17,NaN,NaN,0.0,0.4874605678233438,0.01211867163329518,0.49985661026670497,7.935064935064935,0.4371767007013094
18,NaN,NaN,0.0,0.4970833333333333,0.009816273548777222,0.5102597402597403,7.805194805194805,0.5748166830314629
19,NaN,NaN,0.0,0.4972271126760563,0.008735479370422274,0.4852295591732211,7.545454545454546,0.46651806497198006
20,NaN,NaN,0.0,0.4782303370786517,0.008248498588968218,0.49623036139890075,7.3896103896103895,0.49626870629395503
21,NaN,NaN,0.0,0.49395,0.01072880483756499,0.5176623376623376,7.441558441558442,0.47450294439675306
22,NaN,NaN,0.0,0.5010149572649572,0.009769676384044334,0.48185148185148174,6.9480519480519485,0.4892875538153131
23,NaN,NaN,0.0,0.49884792626728114,0.008910710578779995,0.5005087078819798,7.220779220779221,0.5415812245339442
24,NaN,NaN,0.0,0.49129353233830847,0.009950868251186275,0.503909026297086,7.207792207792208,0.5748009912816342
25,NaN,NaN,0.0,0.49184782608695643,0.008298764361277999,0.5025409373235461,6.909090909090909,0.43737036226972137
26,NaN,NaN,0.0,0.49820359281437127,0.00866880500544768,0.4889960339062137,6.4935064935064934,0.4527070737716179
