i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
119.0,0.4659,0.5009,0.0496,0.4626,0.4606,0.0185,0.49784229,0.71689289,0.09648517,0.13893865,0.5278,0.5016,0.00019602,5.471e-5,0.4778,0.4736,0.5244,0.03877523,5.471e-5,0.00011344
120.0,0.4588,0.4873,0.0481,0.4629,0.4887,0.0179,0.49784229,0.71689289,0.09648517,0.1157822,0.5166,0.4938,0.00019602,5.471e-5,0.4743,0.524,0.5195,0.03877523,4.559e-5,0.00011344
121.0,0.4871,0.4815,0.0468,0.461,0.4941,0.0173,0.41486857,0.71689289,0.09648517,0.1157822,0.4878,0.4688,0.00019602,5.471e-5,0.4722,0.5098,0.4859,0.03877523,4.559e-5,0.00011344
122.0,0.4767,0.4654,0.0448,0.4587,0.4856,0.0175,0.41486857,0.71689289,0.09648517,0.1157822,0.5132,0.532,0.00019602,4.559e-5,0.4656,0.5092,0.4868,0.03877523,4.559e-5,0.00011344
123.0,0.4756,0.5168,0.0447,0.4552,0.4844,0.0163,0.41486857,0.59741074,0.09648517,0.1157822,0.5508,0.5174,0.00016335,4.559e-5,0.4643,0.5036,0.4722,0.03877523,4.559e-5,0.00011344
124.0,0.4727,0.5155,0.046,0.4729,0.4792,0.0158,0.41486857,0.59741074,0.08040431,0.1157822,0.4844,0.5004,0.00019602,4.559e-5,0.4609,0.491,0.458,0.03877523,4.559e-5,0.00011344
125.0,0.4679,0.5068,0.0441,0.4677,0.4687,0.0174,0.41486857,0.59741074,0.08040431,0.1157822,0.5434,0.5036,0.00016335,4.559e-5,0.4828,0.5418,0.5465,0.03231269,3.799e-5,9.453e-5
126.0,0.4662,0.5013,0.0458,0.4661,0.4631,0.0165,0.41486857,0.59741074,0.08040431,0.1157822,0.5408,0.5484,0.00016335,3.799e-5,0.4763,0.5362,0.5259,0.03231269,3.799e-5,9.453e-5
127.0,0.4538,0.4825,0.0409,0.464,0.4996,0.0174,0.41486857,0.59741074,0.08040431,0.09648517,0.5194,0.5304,0.00016335,3.799e-5,0.4735,0.5292,0.5075,0.03231269,3.799e-5,9.453e-5
128.0,0.485,0.4772,0.0396,0.4628,0.4982,0.0154,0.34572381,0.59741074,0.08040431,0.09648517,0.5228,0.4784,0.00016335,4.559e-5,0.472,0.5138,0.4868,0.03231269,3.799e-5,9.453e-5
129.0,0.4842,0.4771,0.0417,0.456,0.4861,0.0153,0.34572381,0.59741074,0.08040431,0.09648517,0.509,0.52,0.00016335,3.799e-5,0.4669,0.4926,0.4736,0.03231269,3.799e-5,9.453e-5
130.0,0.4793,0.4689,0.0385,0.4756,0.4844,0.0146,0.34572381,0.59741074,0.06700359,0.09648517,0.493,0.511,0.00016335,3.799e-5,0.4647,0.4944,0.4746,0.03231269,3.799e-5,9.453e-5
131.0,0.4745,0.4733,0.043,0.4712,0.4671,0.0136,0.34572381,0.59741074,0.06700359,0.09648517,0.4812,0.5026,0.00016335,3.799e-5,0.4595,0.4886,0.5382,0.03231269,3.799e-5,7.878e-5
132.0,0.4665,0.5055,0.0376,0.4671,0.4726,0.0135,0.34572381,0.49784229,0.06700359,0.09648517,0.545,0.5346,0.00013612,3.166e-5,0.458,0.4742,0.5284,0.03231269,3.799e-5,7.878e-5
133.0,0.465,0.4987,0.0366,0.4643,0.4673,0.014,0.34572381,0.49784229,0.06700359,0.09648517,0.467,0.47,0.00016335,3.799e-5,0.4846,0.4752,0.5115,0.02692724,3.799e-5,7.878e-5
134.0,0.4582,0.4843,0.0364,0.4608,0.4537,0.0137,0.34572381,0.49784229,0.06700359,0.09648517,0.4606,0.4652,0.00016335,3.799e-5,0.4779,0.5184,0.4883,0.02692724,3.166e-5,7.878e-5
135.0,0.4559,0.4844,0.0355,0.4558,0.4955,0.0126,0.34572381,0.49784229,0.06700359,0.08040431,0.516,0.4636,0.00013612,3.799e-5,0.4739,0.5056,0.488,0.02692724,3.166e-5,7.878e-5
136.0,0.482,0.477,0.0355,0.4752,0.4842,0.012,0.28810318,0.49784229,0.05583633,0.08040431,0.5186,0.5132,0.00013612,3.166e-5,0.4711,0.4814,0.47,0.02692724,3.166e-5,7.878e-5
137.0,0.4725,0.4612,0.0341,0.4688,0.4794,0.0126,0.28810318,0.49784229,0.05583633,0.08040431,0.5024,0.4772,0.00013612,3.166e-5,0.4667,0.4654,0.4383,0.02692724,3.166e-5,7.878e-5
138.0,0.4696,0.4531,0.0326,0.4698,0.4722,0.012,0.28810318,0.49784229,0.05583633,0.08040431,0.4908,0.5486,0.00013612,2.638e-5,0.4613,0.5656,0.5296,0.02692724,2.198e-5,6.565e-5
139.0,0.466,0.4584,0.0324,0.4641,0.4663,0.012,0.28810318,0.49784229,0.05583633,0.08040431,0.4912,0.4876,0.00013612,3.166e-5,0.4852,0.518,0.5146,0.02243937,2.638e-5,6.565e-5
140.0,0.4668,0.4647,0.0343,0.4628,0.503,0.0113,0.28810318,0.49784229,0.05583633,0.06700359,0.4772,0.5092,0.00013612,2.638e-5,0.4817,0.4952,0.5878,0.02243937,2.638e-5,5.471e-5
141.0,0.4608,0.4962,0.0321,0.4597,0.4911,0.0117,0.28810318,0.41486857,0.05583633,0.06700359,0.515,0.511,0.00011344,2.638e-5,0.4772,0.538,0.48,0.02243937,2.198e-5,6.565e-5
142.0,0.4822,0.481,0.0314,0.4576,0.4888,0.0107,0.24008598,0.41486857,0.05583633,0.06700359,0.5062,0.4988,0.00011344,2.638e-5,0.4733,0.4814,0.5598,0.02243937,2.638e-5,5.471e-5
143.0,0.4803,0.4811,0.0304,0.4764,0.4857,0.0116,0.24008598,0.41486857,0.04653027,0.06700359,0.4318,0.5258,0.00013612,2.198e-5,0.4718,0.5216,0.5354,0.02243937,2.198e-5,5.471e-5
144.0,0.4761,0.4774,0.0303,0.4753,0.4848,0.0118,0.24008598,0.41486857,0.04653027,0.06700359,0.4938,0.4794,0.00011344,2.638e-5,0.4657,0.5006,0.5238,0.02243937,2.198e-5,5.471e-5
145.0,0.4704,0.4676,0.0303,0.4702,0.4775,0.0117,0.24008598,0.41486857,0.04653027,0.06700359,0.4788,0.5218,0.00011344,2.198e-5,0.4632,0.5048,0.5063,0.02243937,2.198e-5,5.471e-5
146.0,0.4677,0.5119,0.03,0.4668,0.4703,0.0112,0.24008598,0.34572381,0.04653027,0.06700359,0.479,0.5168,0.00011344,2.198e-5,0.4609,0.4968,0.4939,0.02243937,2.198e-5,5.471e-5
147.0,0.463,0.5107,0.0293,0.4627,0.5075,0.0104,0.24008598,0.34572381,0.04653027,0.05583633,0.5354,0.5078,9.453e-5,2.198e-5,0.4545,0.5272,0.4807,0.02243937,1.832e-5,5.471e-5
148.0,0.4603,0.4999,0.0287,0.4612,0.4997,0.0105,0.24008598,0.34572381,0.04653027,0.05583633,0.5174,0.4904,9.453e-5,2.198e-5,0.4784,0.5228,0.4708,0.01869947,1.832e-5,5.471e-5
149.0,0.4842,0.4882,0.0282,0.4587,0.4995,0.0099,0.20007165,0.34572381,0.04653027,0.05583633,0.5054,0.488,9.453e-5,2.198e-5,0.4778,0.5204,0.535,0.01869947,1.832e-5,4.559e-5
150.0,0.4821,0.4804,0.0277,0.4563,0.4841,0.0098,0.20007165,0.34572381,0.04653027,0.05583633,0.4788,0.5166,9.453e-5,1.832e-5,0.4692,0.489,0.5134,0.01869947,1.832e-5,4.559e-5
