i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
94.0,0.1605,0.8049,0.8938,0.8422,-0.8346,0.056,0.194,0.181,0.569
95.0,0.1529,0.7875,0.8848,0.8401,-0.8344,0.0562,0.1938,0.1809,0.5691
96.0,0.1456,0.7875,0.9257,0.8376,-0.8341,0.0561,0.1939,0.181,0.569
97.0,0.1386,0.7875,0.8816,0.8432,-0.8355,0.0561,0.1939,0.1809,0.5691
98.0,0.132,0.7721,0.8566,0.8461,-0.833,0.0563,0.1937,0.1807,0.5693
99.0,0.1258,0.748,0.8144,0.8428,-0.8315,0.0564,0.1936,0.1807,0.5693
100.0,0.1198,0.7449,0.8013,0.8459,-0.8342,0.0564,0.1936,0.1807,0.5693
101.0,0.1141,0.7449,0.8031,0.8463,-0.8343,0.0562,0.1938,0.1808,0.5692
102.0,0.1086,0.7203,0.7796,0.8506,-0.8345,0.0562,0.1938,0.1808,0.5692
103.0,0.1035,0.7076,0.7717,0.8518,-0.8345,0.0563,0.1937,0.1808,0.5692
104.0,0.0985,0.7076,0.7637,0.8474,-0.8357,0.0563,0.1937,0.1807,0.5693
105.0,0.0938,0.6995,0.7741,0.8454,-0.8362,0.0562,0.1938,0.1808,0.5692
106.0,0.0894,0.6995,0.7624,0.8521,-0.8337,0.0565,0.1935,0.1806,0.5694
107.0,0.0851,0.6995,0.7592,0.8534,-0.834,0.0565,0.1935,0.1806,0.5694
108.0,0.0811,0.6995,0.7561,0.8485,-0.8343,0.0566,0.1934,0.1804,0.5696
109.0,0.0772,0.6995,0.7543,0.8479,-0.8334,0.0566,0.1934,0.1804,0.5696
110.0,0.0735,0.6995,0.7562,0.8475,-0.8336,0.0567,0.1933,0.1804,0.5696
111.0,0.07,0.6995,0.7515,0.8439,-0.8344,0.0567,0.1933,0.1804,0.5696
112.0,0.0667,0.6995,0.7542,0.8432,-0.8355,0.0566,0.1934,0.1805,0.5695
113.0,0.0635,0.6961,0.7275,0.8491,-0.836,0.0566,0.1934,0.1805,0.5695
114.0,0.0605,0.6961,0.7318,0.8497,-0.8341,0.0566,0.1934,0.1805,0.5695
115.0,0.0576,0.6919,0.7216,0.8507,-0.8354,0.0566,0.1934,0.1804,0.5696
116.0,0.0549,0.6908,0.7174,0.8503,-0.8354,0.0566,0.1934,0.1805,0.5695
117.0,0.0523,0.69,0.7197,0.8562,-0.8342,0.0565,0.1935,0.1805,0.5695
118.0,0.0498,0.6886,0.7209,0.8551,-0.8336,0.0565,0.1935,0.1806,0.5694
119.0,0.0474,0.6886,0.7177,0.8569,-0.8334,0.0565,0.1935,0.1805,0.5695
120.0,0.0451,0.6835,0.7184,0.8575,-0.8359,0.0565,0.1935,0.1806,0.5694
121.0,0.043,0.6814,0.7,0.8559,-0.8358,0.0565,0.1935,0.1805,0.5695
122.0,0.0409,0.6802,0.7017,0.8542,-0.8358,0.0566,0.1934,0.1805,0.5695
123.0,0.039,0.6763,0.697,0.8541,-0.8366,0.0565,0.1935,0.1805,0.5695
124.0,0.0371,0.6763,0.6993,0.8534,-0.8357,0.0566,0.1934,0.1804,0.5696
125.0,0.0354,0.6753,0.6894,0.8558,-0.8374,0.0566,0.1934,0.1804,0.5696
