omega,S
-5.961749999999999,0.002807083870972893
-5.9613,0.0028097287557000868
-5.96085,0.002812375862038902
-5.9604,0.002815025191575906
-5.95995,0.002817676745898531
-5.9595,0.0028203305265950764
-5.9590499999999995,0.002822986535254702
-5.9586,0.0028256447734674203
-5.95815,0.002828305242824118
-5.9577,0.002830967944916544
-5.95725,0.002833632881337308
-5.9568,0.0028363000536798834
-5.95635,0.0028389694635386122
-5.9559,0.0028416411125086875
-5.95545,0.0028443150021861766
-5.955,0.002846991134168013
-5.95455,0.0028496695100519906
-5.9540999999999995,0.0028523501314367716
-5.95365,0.0028550329999218753
-5.9532,0.0028577181171076924
-5.95275,0.0028604054845954817
-5.9523,0.0028630951039873612
-5.95185,0.0028657869768863205
-5.9514,0.0028684811048962184
-5.95095,0.0028711774896217628
-5.9505,0.002873876132668544
-5.95005,0.0028765770356430184
-5.9496,0.002879280200152504
-5.9491499999999995,0.002881985627805195
-5.9487,0.002884693320210134
-5.94825,0.002887403278977248
-5.9478,0.002890115505717329
-5.94735,0.0028928300020420357
-5.9469,0.0028955467695638945
-5.94645,0.002898265809896305
-5.946,0.002900987124653521
-5.94555,0.002903710715450682
-5.9451,0.0029064365839037883
-5.94465,0.0029091647316297113
-5.9441999999999995,0.0029118951602461977
-5.94375,0.002914627871371849
-5.9433,0.002917362866626148
-5.94285,0.0029201001476294505
-5.9424,0.002922839716002974
-5.94195,0.002925581573368812
-5.9415,0.0029283257213499328
-5.94105,0.0029310721615701586
-5.9406,0.0029338208956542
-5.94015,0.0029365719252276356
-5.9397,0.002939325251916912
-5.9392499999999995,0.0029420808773493556
-5.9388,0.002944838803153148
-5.93835,0.002947599030957358
-5.9379,0.002950361562391925
-5.93745,0.002953126399087656
-5.937,0.002955893542676237
-5.9365499999999995,0.002958662994790227
-5.9361,0.0029614347570630474
-5.93565,0.0029642088311290036
-5.9352,0.002966985218623273
-5.93475,0.002969763921181908
-5.9342999999999995,0.002972544940441836
-5.93385,0.0029753282780408488
-5.9334,0.0029781139356176243
-5.93295,0.0029809019148117105
-5.9325,0.002983692217263531
-5.93205,0.002986484844614387
-5.9315999999999995,0.002989279798506456
-5.93115,0.0029920770805827784
-5.9307,0.0029948766924872863
-5.93025,0.002997678635864779
-5.9298,0.003000482912360937
-5.9293499999999995,0.00300328952362232
-5.9289,0.003006098471296348
-5.92845,0.0030089097570313345
-5.928,0.003011723382476466
-5.92755,0.0030145393492818045
-5.9271,0.003017357659098288
-5.9266499999999995,0.0030201783135777446
-5.9262,0.0030230013143728546
-5.92575,0.003025826663137198
-5.9253,0.0030286543615252286
-5.92485,0.0030314844111922765
-5.9243999999999994,0.0030343168137945565
-5.92395,0.003037151570989145
-5.9235,0.0030399886844340142
-5.92305,0.0030428281557880123
-5.9226,0.0030456699867108666
-5.92215,0.0030485141788631803
-5.9216999999999995,0.003051360733906447
-5.92125,0.003054209653503021
-5.9208,0.0030570609393161517
-5.92035,0.003059914593009969
-5.9199,0.003062770616249479
-5.91945,0.0030656290107005735
-5.919,0.0030684897780300234
-5.91855,0.00307135291990547
-5.9181,0.003074218437995452
-5.91765,0.003077086333969382
-5.9172,0.0030799566094975596
-5.9167499999999995,0.003082829266251166
-5.9163,0.0030857043059022518
-5.91585,0.0030885817301237652
-5.9154,0.0030914615405895325
-5.91495,0.0030943437389742627
-5.9145,0.003097228326953548
-5.91405,0.0031001153062038683
-5.9136,0.0031030046784025736
-5.91315,0.003105896445227909
-5.9127,0.0031087906083590053
-5.91225,0.003111687169475869
-5.9117999999999995,0.003114586130259403
-5.91135,0.0031174874923913746
-5.9109,0.0031203912575544536
