j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
10,6.44608916,0.7327146800276402,1.635873119605059,0.04129278008391241,1.5783026585987765, 1.6925791406680095,0.4876614061077212,0.00039539733001572874,0.0007375669745991998, 0.0037538344702726526,0.008431891118256596,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
11,6.13913254,0.7327146800276402,1.5289397582076252,0.03643462319044713,1.576132180769568, 1.6921292872283917,0.48860881461158634,0.14915147618263697,0.0004214988548397049, 0.004507015597208225,0.010688465115255898,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
12,5.84679289,0.7327146800276402,1.7607031817670347,0.08445448905721943,1.5775226058742482, 1.694447647450024,0.4937682403641378,0.5884142668776162,0.000809000234217224, 0.00445639079923179,0.00941796709570452,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
13,5.56837418,0.7327146800276402,1.425375466955899,0.020083704666698312,1.5792435983710746, 1.695251954408293,0.49796505927650525,0.8144771249996909,0.0007525197077716775, 0.004492937752337873,0.010570312526502727,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
14,5.30321351,0.7327146800276402,1.5846569323575868,0.05652847423263999,1.5802541936128993, 1.6961263944015865,0.4949877019644055,0.8534047101332003,0.0006156431651434202, 0.004793459413458709,0.011394604510409002,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
15,5.05067953,0.7327146800276402,1.249448356100162,0.022527816884232135,1.5746992363318355, 1.6998688283881933,0.5018988261998417,0.26965295415896057,0.0005823493011254303, 0.004158017465984833,0.008816501744648564,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
16,4.81017098,0.7327146800276402,1.4312913505945293,0.03640229962426192,1.5739161492942284, 1.6884784763847471,0.47658489424161676,0.31111841096151255,0.000678846625342802, 0.005253685511549887,0.011634738221257875,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
17,4.58111522,0.7327146800276402,1.391818956204025,0.022907410400629442,1.5776028447077315, 1.698439607511246,0.5037844688047521,0.7533974327128994,0.0003732085845185309, 0.0035128135814097364,0.00794321885898574,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
18,4.36296688,0.7327146800276402,1.4234889194425393,0.024122640995102695,1.579790673503848, 1.6948414959132019,0.49266700596232144,0.4551722197748605,0.0006368990001810688, 0.004489780163115194,0.010341419883043738,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
19,4.15520655,0.7327146800276402,1.2302626901313067,0.03591614232619701,1.5752135679654526, 1.699149400508394,0.49820946779219477,0.30425693610719134,0.0005680126285700319, 0.0031758664808919316,0.006422324142575682,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
