j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
54,NaN,NaN,0.0,0.48737499999999995,0.0005236256758760416,0.4967532467532468,5.181818181818182,0.5454395751366252
55,NaN,NaN,0.0,0.473625,0.00047095132534579994,0.514935064935065,5.311688311688312,0.33555034455638577
56,NaN,NaN,0.0,0.49575,0.000515237693602528,0.48961038961038966,5.077922077922078,0.4355534050574251
57,NaN,NaN,0.0,0.491125,0.0005084137048810279,0.48493506493506505,5.090909090909091,0.4837614359544273
58,NaN,NaN,0.0,0.48675000000000007,0.00046905260198207635,0.5119480519480519,5.077922077922078,0.5357414840555049
59,NaN,NaN,0.0,0.49487500000000006,0.00048677304288706437,0.5037662337662339,4.896103896103896,0.4247573458514358
60,NaN,NaN,0.0,0.49037499999999995,0.0004860435985009627,0.5033766233766234,5.0,0.4348583749544146
61,NaN,NaN,0.0,0.4896250000000001,0.0004466632826181626,0.4935064935064935,4.753246753246753,0.6247485143573942
62,NaN,NaN,0.0,0.49650000000000005,0.00046908295042374725,0.4836363636363636,4.701298701298701,0.4152634461384361
63,NaN,NaN,0.0,0.4947500000000001,0.00048098270390556895,0.5155844155844155,4.896103896103896,0.40455949554442583
64,NaN,NaN,0.0,0.49800000000000005,0.00046230558599078713,0.5136363636363638,4.688311688311688,0.5644456052464843
65,NaN,NaN,0.0,0.48599999999999993,0.00045989710447121804,0.4863636363636364,4.8311688311688314,0.4547534849424528
66,NaN,NaN,0.0,0.4965,0.00044991317949577136,0.489090909090909,4.64935064935065,0.45555349505144493
67,NaN,NaN,0.0,0.4875,0.0004435385631672081,0.4879220779220779,4.623376623376624,0.5353425847484147
68,NaN,NaN,0.0,0.5,0.0005078800803293586,0.4793506493506494,4.571428571428571,0.48565149434955385
69,NaN,NaN,0.0,0.504125,0.000450848663250875,0.5016883116883117,4.48051948051948,0.41504656385345656
70,NaN,NaN,0.0,0.49250000000000005,0.0004491673046305718,0.48519480519480507,4.48051948051948,0.6348434546564449
71,NaN,NaN,0.0,0.492375,0.0004058483571043655,0.4788311688311689,4.402597402597403,0.5949364748614058
