i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
92.0,0.454656,0.47284,0.56992793,0.0,0.0,0.0,0.00436634,0.13949572,0.0
93.0,0.503032,0.537184,0.56891291,0.0,0.0,0.0,0.00363861,0.11624643,0.0
94.0,0.487444,0.520144,0.57099099,0.0,0.0,0.0,0.00363861,0.11624643,0.0
95.0,0.468988,0.508832,0.56665465,0.0,0.0,0.0,0.00363861,0.11624643,0.0
96.0,0.517302,0.497696,0.56168769,0.0,0.0,0.0,0.00303218,0.11624643,0.0
97.0,0.500074,0.48508,0.5611952,0.0,0.0,0.0,0.00303218,0.11624643,0.0
98.0,0.483356,0.475112,0.56566366,0.0,0.0,0.0,0.00303218,0.11624643,0.0
99.0,0.465412,0.461552,0.56257057,0.0,0.0,0.0,0.00303218,0.11624643,0.0
100.0,0.513896,0.524232,0.56572973,0.0,0.0,0.0,0.00252682,0.09687203,0.0
101.0,0.496704,0.513432,0.55703303,0.0,0.0,0.0,0.00252682,0.09687203,0.0
102.0,0.479642,0.497448,0.5583003,0.0,0.0,0.0,0.00252682,0.09687203,0.0
