i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
84.0,0.4784715,0.507388,0.00977327,0.513124,0.0531145,0.0,0.05281684,0.08490362,0.07605626
85.0,0.465591,0.487292,0.00953153,0.494076,0.05153,0.0,0.05281684,0.08490362,0.07605626
86.0,0.4572285,0.471618,0.00922523,0.481096,0.0495535,0.0,0.05281684,0.08490362,0.07605626
87.0,0.486126,0.519654,0.00870871,0.469868,0.048179,0.0,0.04401404,0.07075302,0.07605626
88.0,0.4768025,0.506904,0.00854805,0.457316,0.0464505,0.0,0.04401404,0.07075302,0.07605626
89.0,0.471033,0.493408,0.00797598,0.50663,0.0454485,0.0,0.04401404,0.07075302,0.06338021
90.0,0.4553605,0.470732,0.00785586,0.486362,0.04393,0.0,0.04401404,0.07075302,0.06338021
91.0,0.482596,0.515774,0.00744294,0.475656,0.0423445,0.0,0.03667836,0.05896085,0.06338021
92.0,0.4785085,0.50547,0.00718468,0.466754,0.04124,0.0,0.03667836,0.05896085,0.06338021
93.0,0.46594,0.487892,0.00687688,0.513008,0.039979,0.0,0.03667836,0.05896085,0.05281684
94.0,0.46394,0.483344,0.007003,0.507344,0.0397335,0.0,0.03667836,0.05896085,0.05281684
95.0,0.4514175,0.466332,0.00638288,0.491464,0.038085,0.0,0.03667836,0.05896085,0.05281684
96.0,0.476774,0.508454,0.00636637,0.47553,0.037184,0.0,0.0305653,0.04913404,0.05281684
97.0,0.463163,0.485894,0.00592643,0.457286,0.0354785,0.0,0.0305653,0.04913404,0.05281684
98.0,0.458356,0.473442,0.00544895,0.50756,0.0342785,0.0,0.0305653,0.04913404,0.04401404
99.0,0.480538,0.454974,0.00571171,0.489926,0.033759,0.0,0.02547109,0.04913404,0.04401404
100.0,0.4758015,0.507532,0.00551051,0.482318,0.0331965,0.0,0.02547109,0.04094503,0.04401404
101.0,0.463981,0.486192,0.00516216,0.46527,0.0318995,0.0,0.02547109,0.04094503,0.04401404
102.0,0.4576025,0.47718,0.00516517,0.518314,0.030725,0.0,0.02547109,0.04094503,0.03667836
103.0,0.486826,0.464066,0.0048003,0.505702,0.02976,0.0,0.0212259,0.04094503,0.03667836
