j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
17,NaN,NaN,0.0,0.47583762886597947,0.0019464746022518201,0.4612732628196546,18.038961038961038,0.44721460506912364
18,NaN,NaN,0.0,0.4772666666666666,0.0017792685286686881,0.45118614718614714,18.31168831168831,0.5106311687571704
19,NaN,NaN,0.0,0.4597451790633609,0.0013530629263578753,0.5071374906085651,19.350649350649352,0.4889201301333402
20,NaN,NaN,0.0,0.4979285714285716,0.0009634489066307388,0.46307977736549166,19.38961038961039,0.4728781697958034
21,NaN,NaN,0.0,0.4919378698224851,0.0006714788229988813,0.5052255436870822,19.61038961038961,0.5606728358799066
22,NaN,NaN,0.0,0.48392307692307696,0.0006495159397497009,0.5015384615384615,19.805194805194805,0.4908260345189182
23,NaN,NaN,0.0,0.5089456869009585,0.0005839670297953369,0.47267748226214684,19.68831168831169,0.48083056997316886
24,NaN,NaN,0.0,0.4997083333333333,0.0005978070626779252,0.48103896103896104,19.558441558441558,0.49821664846277164
25,NaN,NaN,0.0,0.48498263888888904,0.0004966411800849154,0.49427308802308806,20.064935064935064,0.43918246253258036
26,NaN,NaN,0.0,0.48918181818181816,0.0004181622617873317,0.44207792207792207,20.350649350649352,0.4275243045821818
27,NaN,NaN,0.0,0.4913022813688214,0.00035908983296024645,0.434250160485902,19.7012987012987,0.5757991377283208
28,NaN,NaN,0.0,0.5100000000000001,0.0003543405629794326,0.4986493506493507,19.87012987012987,0.4898964803783494
29,NaN,NaN,0.0,0.4942226890756302,0.00035096601518569306,0.4747899159663866,20.935064935064936,0.5395201965170068
30,NaN,NaN,0.0,0.5255555555555556,0.00025721600493687973,0.4615873015873015,20.194805194805195,0.4688882673614893
31,NaN,NaN,0.0,0.4903755868544602,0.00023823080115635458,0.4578379367111761,20.454545454545453,0.6171299825411986
32,NaN,NaN,0.0,0.4939375000000001,0.0002373539251971732,0.4795454545454546,20.98701298701299,0.5871375578111173
33,NaN,NaN,0.0,0.4853058510638297,0.00022718104537349185,0.5464907432992538,20.571428571428573,0.6192428241587066
34,NaN,NaN,0.0,0.5014285714285713,0.00022198263301136204,0.49387755102040803,20.935064935064936,0.4256816591743385
35,NaN,NaN,0.0,0.4802147239263804,0.0001928840174136851,0.4688869412795792,20.935064935064936,0.5306734682485068
36,NaN,NaN,0.0,0.5001666666666666,0.0001743693651913168,0.4703030303030304,21.246753246753247,0.5702428098432232
37,NaN,NaN,0.0,0.5227355072463769,0.0001730938056692502,0.4498400150574063,20.350649350649352,0.6042039411477054
38,NaN,NaN,0.0,0.4971,0.00017056989728373475,0.43106493506493504,20.792207792207794,0.4610163077078203
39,NaN,NaN,0.0,0.4877212389380531,0.00014834050214572383,0.467877255487875,21.01298701298701,0.623423794367454
40,NaN,NaN,0.0,0.5017500000000001,0.00012879712677351917,0.44999999999999996,20.7012987012987,0.5246365645325949
41,NaN,NaN,0.0,0.52,0.00016024977494141334,0.3814285714285714,19.753246753246753,0.46564436574837464
42,NaN,NaN,0.0,0.48774999999999996,0.00012485675557998406,0.4203896103896104,21.623376623376622,0.5545555339394855
43,NaN,NaN,0.0,0.5091249999999998,0.00012551378509593453,0.46168831168831154,20.233766233766232,0.46345651435159413
44,NaN,NaN,0.0,0.49574999999999997,0.00011034223614613607,0.4396103896103896,20.948051948051948,0.5038604437555843
45,NaN,NaN,0.0,0.4941249999999999,9.567303590890792e-5,0.45337662337662343,20.83116883116883,0.40475940486547396
46,NaN,NaN,0.0,0.4847499999999999,0.00011053446220789936,0.5197402597402598,20.92207792207792,0.5047523156505451
47,NaN,NaN,0.0,0.504625,0.00011049149878047181,0.4542857142857141,20.83116883116883,0.41345746414757384
48,NaN,NaN,0.0,0.4883750000000001,0.00011295659262936083,0.4584415584415585,20.753246753246753,0.5050435941514749
49,NaN,NaN,0.0,0.5055,0.00010353901323994997,0.4081818181818182,20.428571428571427,0.5154426652384257
50,NaN,NaN,0.0,0.472,7.858534709836893e-5,0.4987012987012987,21.896103896103895,0.43334564473657666
51,NaN,NaN,0.0,0.4955,9.631524464912325e-5,0.457012987012987,21.116883116883116,0.5848544549494846
52,NaN,NaN,0.0,0.4798750000000001,6.783387978808773e-5,0.4806493506493507,21.246753246753247,0.5051534345585352
53,NaN,NaN,0.0,0.4942500000000001,7.498208694270825e-5,0.4955844155844155,21.649350649350648,0.43445762375044517
54,NaN,NaN,0.0,0.4876250000000001,6.185056844561988e-5,0.4449350649350649,21.194805194805195,0.5450414963505444
55,NaN,NaN,0.0,0.5085000000000001,7.365163716068956e-5,0.46168831168831165,20.61038961038961,0.4848535947334652
56,NaN,NaN,0.0,0.4915000000000001,4.944186573547143e-5,0.4506493506493506,21.51948051948052,0.46395836554639497
57,NaN,NaN,0.0,0.487375,5.081105858860673e-5,0.46610389610389613,21.714285714285715,0.5547494151604334
58,NaN,NaN,0.0,0.502,5.4688512889732355e-5,0.415974025974026,21.5974025974026,0.6042485154544246
59,NaN,NaN,0.0,0.48762499999999986,4.7502261697953266e-5,0.4202597402597403,21.48051948051948,0.35365959434846517
60,NaN,NaN,0.0,0.4932499999999999,4.8942766128235024e-5,0.41753246753246753,20.92207792207792,0.5750493758524954
