i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
76.0,0.4626,0.4936,0.0755,0.487,0.4941,0.0602,1.2215653,1.46587836,0.4909197,0.84830923,0.143,0.575,0.0,3.122e-5,0.482,0.062,0.1142,0.16440801,0.0,0.0
77.0,0.458,0.4852,0.072,0.4759,0.4802,0.0573,1.2215653,1.46587836,0.4909197,0.84830923,0.136,0.454,0.0,4.495e-5,0.4745,0.056,0.0922,0.16440801,0.0,0.0
78.0,0.48,0.487,0.0692,0.4661,0.5168,0.0556,1.01797108,1.46587836,0.4909197,0.70692436,0.106,0.528,0.0,3.122e-5,0.5007,0.022,0.056,0.13700668,0.0,0.0
79.0,0.4766,0.5173,0.0702,0.4608,0.4992,0.0529,1.01797108,1.2215653,0.4909197,0.70692436,0.077,0.543,0.0,2.601e-5,0.4912,0.012,0.041,0.13700668,0.0,0.0
80.0,0.4664,0.5085,0.0641,0.4849,0.5006,0.053,1.01797108,1.2215653,0.40909975,0.70692436,0.091,0.536,0.0,2.601e-5,0.4857,0.006,0.0194,0.13700668,0.0,0.0
81.0,0.4622,0.4936,0.0647,0.473,0.4792,0.0504,1.01797108,1.2215653,0.40909975,0.70692436,0.076,0.546,0.0,2.168e-5,0.476,0.013,0.0229,0.13700668,0.0,0.0
82.0,0.4783,0.482,0.0611,0.4659,0.5224,0.0468,0.84830923,1.2215653,0.40909975,0.58910363,0.036,0.491,0.0,2.601e-5,0.4695,0.01,0.0152,0.13700668,0.0,0.0
83.0,0.4718,0.47,0.0568,0.4546,0.5046,0.0438,0.84830923,1.2215653,0.40909975,0.58910363,0.027,0.493,0.0,2.601e-5,0.4559,0.005,0.012,0.13700668,0.0,0.0
84.0,0.4687,0.51,0.0569,0.4823,0.4955,0.0425,0.84830923,1.01797108,0.34091646,0.58910363,0.022,0.519,0.0,2.168e-5,0.4826,0.005,0.0117,0.11417223,0.0,0.0
85.0,0.4594,0.4998,0.0551,0.4746,0.4748,0.0396,0.84830923,1.01797108,0.34091646,0.58910363,0.02,0.511,0.0,1.807e-5,0.4752,0.0,0.0017,0.11417223,0.0,0.0
86.0,0.4796,0.4831,0.0516,0.4658,0.5195,0.04,0.70692436,1.01797108,0.34091646,0.4909197,0.016,0.452,0.0,2.168e-5,0.4952,0.004,0.0054,0.09514353,0.0,0.0
87.0,0.4748,0.4735,0.0516,0.4576,0.5043,0.0381,0.70692436,1.01797108,0.34091646,0.4909197,0.012,0.51,0.0,1.505e-5,0.4894,0.005,0.0092,0.09514353,0.0,0.0
88.0,0.4733,0.4763,0.0511,0.4812,0.4852,0.0379,0.70692436,1.01797108,0.28409705,0.4909197,0.007,0.504,0.0,1.505e-5,0.4875,0.0,0.0,0.09514353,0.0,0.0
89.0,0.4669,0.5051,0.0511,0.4712,0.5276,0.0357,0.70692436,0.84830923,0.28409705,0.40909975,0.006,0.533,0.0,1.255e-5,0.4733,0.0,0.0,0.09514353,0.0,0.0
90.0,0.4595,0.503,0.0465,0.4576,0.5085,0.0316,0.70692436,0.84830923,0.28409705,0.40909975,0.007,0.54,0.0,8.71e-6,0.4647,0.0,0.0,0.09514353,0.0,0.0
91.0,0.4756,0.4828,0.0451,0.4879,0.4976,0.0356,0.58910363,0.84830923,0.23674754,0.40909975,0.0,0.561,0.0,1.045e-5,0.4889,0.0,0.0,0.07928627,0.0,0.0
92.0,0.4714,0.5134,0.0451,0.4746,0.4837,0.032,0.58910363,0.70692436,0.23674754,0.40909975,0.0,0.532,0.0,8.71e-6,0.4789,0.0,0.0,0.07928627,0.0,0.0
93.0,0.466,0.515,0.0446,0.4691,0.4806,0.0317,0.58910363,0.70692436,0.23674754,0.40909975,0.0,0.51,0.0,1.045e-5,0.4762,0.0,0.0,0.07928627,0.0,0.0
0.0,0.5064,0.5688,0.133,0.4735,0.4819,0.0935,2.1109,2.533,0.8483,1.4659,0.3957,0.4946,0.0,0.0001,0.4851,0.2739,0.5284,0.28409705,3.9e-7,1.04548291
