omega,S,S_p,S_c
2.9050000000000002,0.04600452559805553,0.0,0.04600452559805553
2.91,0.050518863488186544,0.0,0.050518863488186544
2.915,0.041787242949344244,0.0,0.041787242949344244
2.92,0.048655612649708205,0.0,0.048655612649708205
2.9250000000000003,0.04300286537207286,0.0,0.04300286537207286
2.93,0.0530732038125044,0.0,0.0530732038125044
2.935,0.05129166399985382,0.0,0.05129166399985382
2.94,0.04991932189465941,0.0,0.04991932189465941
2.945,0.0478290815409821,0.0,0.0478290815409821
2.95,0.05286998830818761,0.0,0.05286998830818761
2.955,0.04893289697749793,0.0,0.04893289697749793
2.96,0.047831513499240856,0.0,0.047831513499240856
2.965,0.04890258610994364,0.0,0.04890258610994364
2.97,0.0567402376918976,0.0,0.0567402376918976
2.975,0.04331668794368181,0.0,0.04331668794368181
2.98,0.04625818681106203,0.0,0.04625818681106203
2.985,0.04413283475774692,0.0,0.04413283475774692
2.99,0.04448473412402992,0.0,0.04448473412402992
2.995,0.03849171397747075,0.0,0.03849171397747075
3.0,0.04225583591595227,0.0,0.04225583591595227
3.005,0.03703822591240463,0.0,0.03703822591240463
3.0100000000000002,0.04052919742776701,0.0,0.04052919742776701
3.015,0.03587124889530526,0.0,0.03587124889530526
3.02,0.039772032280067364,0.0,0.039772032280067364
3.025,0.036024999887772045,0.0,0.036024999887772045
3.0300000000000002,0.035162200024638976,0.0,0.035162200024638976
3.035,0.04441399532520378,0.0,0.04441399532520378
3.04,0.03857279747975442,0.0,0.03857279747975442
3.045,0.04167328978351402,0.0,0.04167328978351402
3.0500000000000003,0.0420832637912178,0.0,0.0420832637912178
3.055,0.040441190976681925,0.0,0.040441190976681925
3.06,0.04005681752742711,0.0,0.04005681752742711
3.065,0.03843747333325866,0.0,0.03843747333325866
3.0700000000000003,0.04218534423243058,0.0,0.04218534423243058
3.075,0.03325384308205854,0.0,0.03325384308205854
3.08,0.034142168407168924,0.0,0.034142168407168924
3.085,0.03527977512150216,0.0,0.03527977512150216
3.09,0.03369860895665088,0.0,0.03369860895665088
3.095,0.027029303241118928,0.0,0.027029303241118928
3.1,0.037759488678051394,0.0,0.037759488678051394
3.105,0.02662139517917972,0.0,0.02662139517917972
3.11,0.029388284075415907,0.0,0.029388284075415907
3.115,0.029083889784256283,0.0,0.029083889784256283
3.12,0.023585140477271022,0.0,0.023585140477271022
