j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
61,NaN,NaN,0.0,0.0,0.47174999999999995,0.0003106261366856948,0.49610389610389605,3.792207792207792,0.0
62,NaN,NaN,0.0,0.0,0.4937500000000001,0.0002909674907727462,0.5057142857142858,3.6103896103896105,0.0
63,NaN,NaN,0.0,0.0,0.485,0.0002932181281217514,0.488051948051948,3.3506493506493507,0.0
64,NaN,NaN,0.0,0.0,0.4727499999999999,0.00026804013465766175,0.52,3.5714285714285716,0.0
65,NaN,NaN,0.0,0.0,0.4715000000000001,0.0002760813897928778,0.5111688311688313,3.4415584415584415,0.0
66,NaN,NaN,0.0,0.0,0.4879999999999997,0.0002748995881209096,0.47714285714285687,3.4675324675324677,0.0
67,NaN,NaN,0.0,0.0,0.4847499999999999,0.0002718318628111011,0.49168831168831184,3.25974025974026,0.0
68,NaN,NaN,0.0,0.0,0.47775,0.0002529555346485908,0.5031168831168832,3.051948051948052,0.0
69,NaN,NaN,0.0,0.0,0.4907500000000001,0.00024312661241748375,0.4781818181818182,3.0779220779220777,0.0
70,NaN,NaN,0.0,0.0,0.47975000000000023,0.00023601259208035972,0.49740259740259757,2.948051948051948,0.0
71,NaN,NaN,0.0,0.0,0.4720000000000001,0.00022194195335048162,0.498961038961039,3.090909090909091,0.0
72,NaN,NaN,0.0,0.0,0.491,0.00024084564834207653,0.48207792207792205,2.857142857142857,0.0
73,NaN,NaN,0.0,0.0,0.48525000000000007,0.0002232958708425574,0.4753246753246753,2.74025974025974,0.0
74,NaN,NaN,0.0,0.0,0.4862499999999999,0.0002345922051949134,0.5249350649350648,2.831168831168831,0.0
75,NaN,NaN,0.0,0.0,0.48375,0.00020922538532551054,0.5163636363636365,2.831168831168831,0.0
76,NaN,NaN,0.0,0.0,0.46975000000000006,0.00019209932370703217,0.4724675324675324,2.7662337662337664,0.0
