j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
24,1.11678158,1.1761706254184219,1.34109304752267,0.006428842560943228,-1.0142732471674119, -0.6497658840811144,0.75,0.5,0.00041481141262741613, 0.0004866319612815221,0.0,1.5148136187597758, -0.13604538827809143,0.75,0.5,0.0011426359793667389, 0.00031306806975138696,0.0
25,1.01525598,1.1761706254184219,1.3975556464300918,0.007470496345723236,-1.0164937244673684, -0.6601586864577266,0.75,0.5,0.0006738879593027652, 0.0005003503841728503,0.0,1.5267905024812767, -0.13358138836481254,0.75,0.5,0.0010546424696901001, 0.00044344698710063225,0.0
26,0.92295998,1.1761706254184219,1.4556194475291238,0.004465173124110194,-1.004957495701171, -0.6658645444709533,0.75,0.5,0.0006362060376576742, 0.0004318552966345437,0.0,1.52703575325065, -0.13351434601154935,0.75,0.5,0.0018714003558930278, 0.0004328559871384288,0.0
27,0.83905453,1.1761706254184219,1.4231319857666898,0.01065885250790145,-1.001490667747836, -0.6545905912859905,0.75,0.5,0.000481007798946451, 0.0006648870490413069,0.0,1.5261224446357384, -0.13742038008100776,0.75,0.5,0.0017425960202448803, 0.00021348871116654236,0.0
28,0.76277684,1.1761706254184219,1.3423432536856925,0.003861180557878152,-1.0008501125199794, -0.6503181326933962,0.75,0.5,0.0002562359869513573, 0.00026691551067495523,0.0,1.5108508030396748, -0.14157766183735082,0.75,0.5,0.0012101887345984928, 0.00035756499559494003,0.0
29,0.69343349,1.1761706254184219,1.3598983154934559,0.005069560553309098,-1.003248775434766, -0.6527619377338548,0.75,0.5,0.0002175039865571509, 0.00046476589708112863,0.0,1.5377055319216533, -0.13867091696213052,0.75,0.5,0.002085505102981253, 0.00026160270089468847,0.0
30,0.63039409,1.1761706254184219,1.372766246225739,0.0034360721980229865,-1.0041985127731978, -0.658059647362347,0.75,0.5,0.00039022398013775924, 0.000457044168838942,0.0,1.5223603570884436, -0.13920574993115079,0.75,0.5,0.0015008183302850468, 0.00022101370999657295,0.0
31,0.57308553,1.1761706254184219,1.3580583189430093,0.0023691780124986917,-1.0056914605773124, -0.6609288112015494,0.75,0.5,0.00021776839456893448, 0.00037869719273498465,0.0,1.5243417747843204, -0.13528269042322694,0.75,0.5,0.0011281056435130251, 0.0004797227433168828,0.0
32,0.52098685,1.1761706254184219,1.3308174019772727,0.0023239749749585483,-1.0073793285067585, -0.656370974154147,0.75,0.5,0.00038161147381345924, 0.0007231008115431054,0.0,1.5367416941438923, -0.13240907527772655,0.75,0.5,0.00112820633951025, 0.00022984838443209992,0.0
33,0.47362441,1.1761706254184219,1.3279819089654885,0.0027738588147047513,-1.0107431278576309, -0.6567074375172707,0.75,0.5,0.00023107300311000215, 0.000295324213032353,0.0,1.5200521193857033, -0.1328052791544845,0.75,0.5,0.0007913779836047636, 0.0002847234645039019,0.0
