j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
10,6.44608916,0.8341855831981929,1.969545691371081,0.03297669542676334,0.6472391243535868, 1.8799863485056811,0.5078036113097354,0.9381428224233523,0.0007061354539835417, 0.045360559610322114,0.010984215146302479,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
11,6.13913254,0.8341855831981929,2.0214523582337267,0.050122183831021995,0.6449074172744794, 1.849485925168305,0.5008728915796008,0.3908069712932569,0.0005507459484130241, 0.02827435982363244,0.006640806973457764,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
12,5.84679289,0.8341855831981929,1.9634428946731026,0.06113964542505164,0.6452728414277475, 1.8852156023924178,0.5063530468393784,0.5004612645739895,0.000998352782007408, 0.039470210104553566,0.009458192439782328,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
13,5.56837418,0.8341855831981929,1.889038710435801,0.03351405514693792,0.646649291552743, 1.8548212776211153,0.5033399456901506,0.5469106620060196,0.0008616080151358456, 0.031093880344005047,0.007903572097675214,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
14,5.30321351,0.8341855831981929,1.772795411497427,0.02748727391473752,0.6472747966091098, 1.7725093966205343,0.48187812550600134,0.33588654563250764,0.0005334462710181667, 0.04288403186183948,0.010962918834114476,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
15,5.05067953,0.8341855831981929,1.7212467634369182,0.023498731219681712,0.645200828414452, 1.9769514711500764,0.5325276570413566,0.12060210903440244,0.001041880292003136, 0.042267459843512115,0.009953681410656681,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
16,4.81017098,0.8341855831981929,1.867553769370201,0.04266934125304691,0.6454669355818479, 1.915808384823428,0.5163793619760979,0.9916019653821824,0.0007260656198877909, 0.03262352577410657,0.007397019282514404,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
17,4.58111522,0.8341855831981929,1.850563387169362,0.043802157361765605,0.6476947911187503, 1.8333923139278625,0.49642278140620394,0.8678982559092565,0.0007797833176704501, 0.029159988937946836,0.007766786285213324,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
18,4.36296688,0.8312868867975125,1.7236312672459912,0.06059566487082697,0.648367980954573, 1.8964129623935282,0.5118414350910927,0.7949463829256217,0.0007253974920945018, 0.05414694374011058,0.01364082624341695,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
19,4.15520655,0.8312868867975125,1.6409765295990058,0.04699453450792154,0.6467313634682115, 1.8060166842248482,0.4907331683215193,0.33759464090888747,0.0008493304303608442, 0.029128873792179606,0.008594754674825853,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
20,3.95733957,0.8312868867975125,1.7640216402165785,0.0743059866437296,0.6437857421020269, 1.853239061338194,0.4990595747770257,0.8038573556889198,0.0010108706141350717, 0.04752795754280989,0.012063969177161286,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
21,3.76889483,0.8312868867975125,1.5710386732311137,0.02309243382369646,0.6478625108841631, 1.852476834169865,0.500117004348999,0.5165386305107995,0.00088559154811307, 0.03604385170318648,0.008921706435040058,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
