j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
23,0.0,2.5801883159362046e-41,0.0,0.0,0.5364999999999999,0.0002189758154838136,0.44883116883116886,18.948051948051948,0.0
24,0.0,6.730176956875726e-43,0.0,0.0,0.45100000000000007,0.0003353914133700536,0.5028571428571429,18.74025974025974,0.0
25,0.0,1.7555029449246223e-44,0.0,0.0,0.49399999999999994,0.0002907304473118944,0.5119480519480518,17.4025974025974,0.0
26,0.0,4.579063239177662e-46,0.0,0.0,0.4827500000000001,0.00034047685554617295,0.47480519480519495,15.987012987012987,0.0
27,0.0,1.1944052961579343e-47,0.0,0.0,0.48549999999999993,0.0002991387269518925,0.4877922077922076,17.506493506493506,0.0
28,0.0,3.1154931412266717e-49,0.0,0.0,0.4535,0.0002716611002702706,0.5062337662337663,16.714285714285715,0.0
29,0.0,8.126468916583764e-51,0.0,0.0,0.515,0.00025797479061656474,0.46935064935064946,15.766233766233766,0.0
30,0.0,2.1197124839825506e-52,0.0,0.0,0.49400000000000005,0.0002505663580958513,0.48155844155844163,16.233766233766232,0.0
31,0.0,5.529069342260323e-54,0.0,0.0,0.4864999999999998,0.00020267390394166284,0.5002597402597402,16.2987012987013,0.0
32,0.0,1.4422053944828646e-55,0.0,0.0,0.47125000000000006,0.000190753175527231,0.5012987012987014,16.844155844155843,0.0
33,0.0,3.7618562385856533e-57,0.0,0.0,0.5117499999999999,0.0002505615766597192,0.5038961038961037,13.792207792207792,0.0
34,0.0,9.81244586514684e-59,0.0,0.0,0.48424999999999996,0.00021028930721530377,0.5184415584415585,14.012987012987013,0.0
35,0.0,2.5594836099488257e-60,0.0,0.0,0.5022500000000001,0.00018754312133643746,0.47480519480519473,13.727272727272727,0.0
36,0.0,6.676170691412661e-62,0.0,0.0,0.46149999999999985,0.00021464281431837832,0.5062337662337661,14.324675324675324,0.0
37,0.0,1.7414159218534163e-63,0.0,0.0,0.5012500000000001,0.00023487900618140214,0.5025974025974026,13.441558441558442,0.0
38,0.0,4.5423185731084295e-65,0.0,0.0,0.4799999999999998,0.0002479203575277131,0.48181818181818176,13.532467532467532,0.0
39,0.0,1.1848207978738415e-66,0.0,0.0,0.4632500000000001,0.00021221416612764114,0.4797402597402597,11.96103896103896,0.0
40,0.0,3.090492884812681e-68,0.0,0.0,0.4937500000000002,0.00021924492743179532,0.49064935064935067,12.285714285714286,0.0
41,0.0,8.061258114490647e-70,0.0,0.0,0.4932499999999999,0.000200092200764262,0.4950649350649351,11.74025974025974,0.0
42,0.0,2.102702863604233e-71,0.0,0.0,0.48224999999999996,0.00018760252586786107,0.5083116883116885,12.35064935064935,0.0
43,0.0,5.484701357796449e-73,0.0,0.0,0.51025,0.00024110598398133248,0.4753246753246754,12.077922077922079,0.0
44,0.0,1.4306324257651336e-74,0.0,0.0,0.49125000000000013,0.0002355147215704784,0.5241558441558443,11.792207792207792,0.0
45,0.0,3.7316692452931025e-76,0.0,0.0,0.4655,0.00017751333235782818,0.5116883116883116,11.467532467532468,0.0
46,0.0,9.73370595093201e-78,0.0,0.0,0.4852499999999999,0.0002030083033866416,0.4914285714285715,10.909090909090908,0.0
47,0.0,2.5389450487530408e-79,0.0,0.0,0.51275,0.00016455659168274935,0.48389610389610394,9.636363636363637,0.0
48,0.0,6.622597798909626e-81,0.0,0.0,0.4884999999999998,0.0001879416774209512,0.4984415584415584,9.896103896103897,0.0
49,0.0,1.727441940016118e-82,0.0,0.0,0.5037499999999999,0.00020521157727152457,0.49688311688311687,9.7012987012987,0.0
50,0.0,4.50586876439628e-84,0.0,0.0,0.48299999999999976,0.00019218975688214208,0.48987012987012996,9.506493506493506,0.0
1,0.0,2.154145631076981e-14,0.0,0.0,0.4763636363636364,0.00023704773893710754,0.5620779220779221,30.064935064935064,0.0
